Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	DuplicadorJob	1	73728	8192	8192	57344	BTree	0
dbo	DuplicadorJobDetalle	1	147456	24576	8192	114688	BTree	0
dbo	DuplicadorMensaje	1	73728	8192	8192	57344	BTree	1
dbo	sysdiagrams	0	0	0	0	0	Heap	1
dbo	TBJJNL01A	0	0	0	0	0	Heap	0
dbo	tblAviso	0	0	0	0	0	Heap	0
dbo	tblBitacora	0	0	0	0	0	Heap	0
dbo	tblBitacoraDetalle	0	0	0	0	0	Heap	1
dbo	tblBroadcast	25	221184	8192	40960	172032	Heap	0
dbo	tblBroadcastCliente	0	0	0	0	0	Heap	0
dbo	tblCalendario	0	0	0	0	0	Heap	0
dbo	tblClienteConmutador	238	221184	32768	40960	147456	Heap	0
dbo	tblClienteConmutadorDetalle	0	0	0	0	0	Heap	0
dbo	tblClienteMensajeAutorizad	0	0	0	0	0	Heap	0
dbo	tblComponenteDetalle	0	0	0	0	0	Heap	1
dbo	tblFormulario	0	0	0	0	0	Heap	0
dbo	tblInformeClave	0	0	0	0	0	Heap	0
dbo	tblMensaje	0	0	0	0	0	Heap	0
dbo	tblMensaje_DU	0	0	0	0	0	Heap	0
dbo	tblMensajeClasificado	0	0	0	0	0	Heap	0
dbo	tblMensajeComponente	0	0	0	0	0	Heap	0
dbo	tblMensajeEstado	0	0	0	0	0	Heap	0
dbo	tblMenu	0	0	0	0	0	Heap	0
dbo	tblNSEMensajeSistema	0	0	0	0	0	Heap	0
dbo	tblParametro	24	147456	8192	24576	114688	Heap	0
dbo	tblParametro_DU	0	0	0	0	0	Heap	0
dbo	tblPerfil	0	0	0	0	0	Heap	0
dbo	tblProceso	0	0	0	0	0	Heap	0
dbo	tblProgramacionProceso	0	0	0	0	0	Heap	0
dbo	tblRegistroDiarioSecuencia	0	0	0	0	0	Heap	0
dbo	tblRegistroDiarioTotales	0	0	0	0	0	Heap	0
dbo	tblRegistroSesionCliente	0	0	0	0	0	Heap	0
dbo	tblRol	0	0	0	0	0	Heap	0
dbo	tblSecuenciaClave	0	0	0	0	0	Heap	0
dbo	tblTarea	0	0	0	0	0	Heap	1
dbo	tblTareaHistorial	0	0	0	0	0	Heap	1
dbo	tblTextoSistema	427	278528	40960	40960	196608	Heap	0
dbo	tblTipoMensaje	0	0	0	0	0	Heap	0
dbo	tblTransaccion	0	0	0	0	0	Heap	0
dbo	tblUsuario	6	294912	8192	57344	229376	Heap	0
dbo	tblUsuarioAsignacion	0	0	0	0	0	Heap	1
dbo	tblUsuarioDetalle	0	0	0	0	0	Heap	0
dbo	tblUsuarioRol	0	0	0	0	0	Heap	0
