Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	actividad	112	73728	16384	16384	40960	BTree	0
dbo	actividadContr	275	73728	8192	8192	57344	BTree	0
dbo	archivo	83645	59990016	57606144	1392640	991232	BTree	0
dbo	autorizaform	1725985	47521792	41664512	286720	5570560	BTree	0
dbo	carpeta	35	73728	8192	8192	57344	Heap	0
dbo	consulta	494130	34791424	17752064	14229504	2809856	BTree	0
dbo	contrato	28	73728	8192	8192	57344	BTree	0
dbo	contribuyente	83851	16130048	15237120	73728	819200	BTree	0
dbo	detalle	2820798	127778816	83279872	35119104	9379840	Heap	0
dbo	dg_form	38224	991232	909312	8192	73728	Heap	0
dbo	documento	570	139264	24576	16384	98304	BTree	0
dbo	empresa	27	147456	8192	24576	114688	BTree	0
dbo	empresainstitucion	22	73728	8192	8192	57344	BTree	0
dbo	form22	58	212992	40960	32768	139264	BTree	0
dbo	form29	248	802816	696320	32768	73728	BTree	0
dbo	form29RES	1412456	2896502784	2896158720	8192	335872	Heap	0
dbo	honorario	6747	335872	221184	16384	98304	BTree	0
dbo	logacs	157623	6103040	5283840	8192	811008	Heap	0
dbo	logact	526	73728	24576	8192	40960	Heap	0
dbo	logact_2	0	0	0	0	0	Heap	0
dbo	logerr	0	0	0	0	0	Heap	0
dbo	logsis	54	73728	8192	8192	57344	Heap	0
dbo	logtask	0	0	0	0	0	Heap	0
dbo	logtrx	44316	1908736	1761280	8192	139264	Heap	0
dbo	lotes	700	3751936	3653632	8192	90112	Heap	0
dbo	menu	13	73728	8192	8192	57344	BTree	0
dbo	migrations	0	0	0	0	0	Heap	0
dbo	perfil	10	73728	8192	8192	57344	BTree	0
dbo	perfilempresa	5	73728	8192	8192	57344	Heap	0
dbo	perfilmenu	46	73728	8192	8192	57344	BTree	0
dbo	propiedad	51017	4595712	4014080	57344	524288	BTree	0
dbo	representante	44634	2170880	1957888	16384	196608	BTree	0
dbo	servicio	7	73728	8192	8192	57344	BTree	0
dbo	serviciocontratado	65	73728	8192	8192	57344	BTree	0
dbo	situacion	59710	2564096	2252800	16384	294912	BTree	0
dbo	sociedad	40660	3416064	2940928	32768	442368	BTree	0
dbo	socio	73828	3678208	3162112	32768	483328	BTree	0
dbo	testable	2	73728	8192	8192	57344	Heap	0
dbo	timbrajes	4	73728	8192	8192	57344	Heap	0
dbo	usuario	2762	344064	114688	90112	139264	BTree	0
