Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	tbl_casi	105	286720	24576	49152	212992	BTree	0
dbo	tbl_cdex	4	147456	8192	24576	114688	BTree	0
dbo	tbl_cerr	301	139264	24576	16384	98304	BTree	0
dbo	tbl_corr	2	73728	8192	8192	57344	BTree	0
dbo	tbl_desc	174	147456	40960	24576	81920	Heap	0
dbo	tbl_dest	20	73728	8192	8192	57344	BTree	0
dbo	tbl_estadomigracion	1	73728	8192	8192	57344	Heap	0
dbo	tbl_estr	112	278528	32768	32768	212992	BTree	0
dbo	tbl_estt	30	73728	8192	8192	57344	BTree	0
dbo	tbl_feri	119	73728	8192	8192	57344	Heap	0
dbo	tbl_hpro	24	147456	8192	24576	114688	BTree	0
dbo	tbl_hres	14818	991232	851968	16384	122880	BTree	0
dbo	tbl_htra	1684153	125091840	88096768	36700160	294912	BTree	0
dbo	tbl_inst	58	73728	8192	8192	57344	BTree	0
dbo	tbl_limp	191098	26820608	14041088	11354112	1425408	BTree	0
dbo	tbl_opca	809980	31268864	30932992	147456	188416	BTree	0
dbo	tbl_oppr	0	0	0	0	0	BTree	0
dbo	tbl_param	1	73728	8192	8192	57344	Heap	0
dbo	tbl_prod	6	73728	8192	8192	57344	BTree	0
dbo	tbl_resc	8095	933888	540672	303104	90112	BTree	0
dbo	tbl_serv	2	73728	8192	8192	57344	BTree	0
dbo	tbl_tarc	238789	30425088	19570688	7684096	3170304	BTree	0
dbo	tbl_tmp	82	73728	8192	8192	57344	Heap	0
dbo	tbl_tpro	6	147456	8192	24576	114688	BTree	0
dbo	tbl_user	2	73728	8192	8192	57344	BTree	0
dbo	tblConfigLogTrazabilidad	0	0	0	0	0	Heap	0
dbo	tblCorrelativo	160	147456	16384	24576	106496	Heap	0
dbo	tblCorrelativoR04R05	1	73728	8192	8192	57344	Heap	0
dbo	tblEnvioAutomR04R05	22	73728	8192	8192	57344	Heap	0
dbo	tblMsAlerta	4	73728	8192	8192	57344	Heap	0
dbo	tblParametro	21	147456	8192	24576	114688	Heap	0
dbo	tblPassword	65	147456	8192	24576	114688	Heap	0
dbo	tblPerfil	7	147456	8192	24576	114688	Heap	0
dbo	tblPrivilegio	40	73728	8192	8192	57344	Heap	0
dbo	tblRegistroLogTrazabilidad	1681	204800	106496	8192	90112	Heap	0
dbo	tblRelPrivilegioPerfil	65	147456	8192	24576	114688	Heap	0
dbo	tblRelTipoArchivoUsuario	264	147456	16384	24576	106496	Heap	0
dbo	tblTicket	0	0	0	0	0	Heap	0
dbo	tblTipoArchivo	26	147456	8192	24576	114688	Heap	0
dbo	tblTransDescarga	0	0	0	0	0	Heap	0
dbo	tblTransEnvio	1782	745472	196608	212992	335872	Heap	0
dbo	tblTransRespuesta	8	221184	8192	40960	172032	Heap	0
dbo	tblUsuario	31	221184	8192	40960	172032	Heap	0
dbo	tblVersionEstructura	4	73728	8192	8192	57344	Heap	0
dbo	TEMP_ALERTA_BACKUP_LOG	0	0	0	0	0	Heap	0
