Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	acc_lvls	0	0	0	0	0	BTree	0
dbo	acctyp	0	0	0	0	0	BTree	0
dbo	act_log	0	0	0	0	0	BTree	0
dbo	act_type	0	0	0	0	0	BTree	0
dbo	actbool	0	0	0	0	0	BTree	0
dbo	action	0	0	0	0	0	BTree	0
dbo	actiongroup	0	0	0	0	0	BTree	0
dbo	actiontype	0	0	0	0	0	BTree	0
dbo	actors	0	0	0	0	0	Heap	0
dbo	actrbool	0	0	0	0	0	BTree	0
dbo	addmemo	0	0	0	0	0	BTree	0
dbo	addtext	0	0	0	0	0	BTree	0
dbo	admin_tree	0	0	0	0	0	BTree	0
dbo	aec_hist_report_v2	0	0	0	0	0	BTree	0
dbo	aec_policy	0	0	0	0	0	BTree	0
dbo	ai_fddef_prop	0	0	0	0	0	BTree	0
dbo	ai_fsdef_prop	0	0	0	0	0	BTree	0
dbo	ai_hfdef_hwdef_rel	0	0	0	0	0	BTree	0
dbo	ai_hfdef_instcnt_kpi	0	0	0	0	0	BTree	0
dbo	ai_hfdef_prop	0	0	0	0	0	BTree	0
dbo	ai_hwdef_classdef_rel	0	0	0	0	0	BTree	0
dbo	ai_hwdef_cpuperf_kpi	0	0	0	0	0	BTree	0
dbo	ai_hwdef_createdate_kpi	0	0	0	0	0	BTree	0
dbo	ai_hwdef_login_all_rel	0	0	0	0	0	BTree	0
dbo	ai_hwdef_login_lscandate_rel	0	0	0	0	0	BTree	0
dbo	ai_hwdef_login_maxscan_rel	0	0	0	0	0	BTree	0
dbo	ai_hwdef_login_rel	0	0	0	0	0	BTree	0
dbo	ai_hwdef_lscandate_kpi	0	0	0	0	0	BTree	0
dbo	ai_hwdef_mac_kpi	0	0	0	0	0	BTree	0
dbo	ai_hwdef_osinstdate_kpi	0	0	0	0	0	BTree	0
dbo	ai_hwdef_prop	0	0	0	0	0	BTree	0
dbo	ai_ipdef_prop	0	0	0	0	0	BTree	0
dbo	ai_orgdef_rel	0	0	0	0	0	BTree	0
dbo	ai_osdef_hwdef_rel	0	0	0	0	0	BTree	0
dbo	ai_osdef_instcnt_kpi	0	0	0	0	0	BTree	0
dbo	ai_osdef_prop	0	0	0	0	0	BTree	0
dbo	ai_pubdef_hwdef_rel	0	0	0	0	0	BTree	0
dbo	ai_pubdef_instcnt_kpi	0	0	0	0	0	BTree	0
dbo	ai_pubdef_prop	0	0	0	0	0	BTree	0
dbo	ai_swcat_hwdef_rel	0	0	0	0	0	BTree	0
dbo	ai_swcat_instcnt_kpi	0	0	0	0	0	BTree	0
dbo	ai_swcat_prop	0	0	0	0	0	BTree	0
dbo	ai_swcat_swdef_rel	0	0	0	0	0	BTree	0
dbo	ai_swdef_hwdef_rel	0	0	0	0	0	BTree	0
dbo	ai_swdef_instcnt_kpi	0	0	0	0	0	BTree	0
dbo	ai_swdef_prop	0	0	0	0	0	BTree	0
dbo	ai_undef_hwdef_rel	0	0	0	0	0	BTree	0
dbo	ai_usrdef_orgtree_prop	0	0	0	0	0	BTree	0
dbo	ai_usrdef_prop	0	0	0	0	0	BTree	0
dbo	alertdrillmap	0	0	0	0	0	Heap	0
dbo	alias	0	0	0	0	0	Heap	0
dbo	am_approved_licenses	0	0	0	0	0	BTree	0
dbo	am_external_device	0	0	0	0	0	Heap	0
dbo	am_external_device_def	0	0	0	0	0	Heap	0
dbo	am_link_external_device	0	0	0	0	0	BTree	0
dbo	am_link_object_folder	0	0	0	0	0	BTree	0
dbo	am_map	0	0	0	0	0	BTree	0
dbo	am_object_folder	0	0	0	0	0	BTree	0
dbo	amaccmap	0	0	0	0	0	BTree	0
dbo	amepdef	0	0	0	0	0	BTree	0
dbo	amephis	0	0	0	0	0	Heap	0
dbo	amepjobs	0	0	0	0	0	BTree	0
dbo	amlegacy_objects	0	0	0	0	0	BTree	0
dbo	ams_lv1_alerts	0	0	0	0	0	Heap	0
dbo	ams_lv1_annotation	0	0	0	0	0	Heap	0
dbo	ams_lv1_association	0	0	0	0	0	Heap	0
dbo	ams_lv1_classes	1	147456	8192	24576	114688	Heap	0
dbo	ams_lv1_display	3	221184	8192	40960	172032	Heap	0
dbo	ams_lv1_escalation	2	147456	8192	24576	114688	Heap	0
dbo	ams_lv1_global	9	147456	8192	24576	114688	Heap	0
dbo	ams_lv1_history	0	0	0	0	0	Heap	0
