Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	MSBTMPiInstitucionesParticipantes	4	73728	16384	8192	49152	Heap	0
dbo	tblAfiliadoCabecera	53	147456	8192	24576	114688	BTree	0
dbo	tblAfiliadoDetalle	134	147456	24576	32768	90112	BTree	0
dbo	tblAfiliadoError	0	294912	73728	24576	196608	BTree	0
dbo	tblCarteraCompradaCabecera	0	73728	8192	8192	57344	BTree	0
dbo	tblCarteraCompradaDetalle	0	0	0	0	0	BTree	0
dbo	tblCarteraCompradaError	0	73728	16384	0	57344	BTree	0
dbo	tblCierreFueraPlazo	0	0	0	0	0	BTree	0
dbo	tblCodigoError	86	73728	8192	8192	57344	BTree	0
dbo	tblConsolidacionCabecera	12	147456	8192	24576	114688	BTree	0
dbo	tblConsolidacionCabeceraPensionado	4	147456	8192	24576	114688	BTree	0
dbo	tblConsolidacionCarteraCabecera	0	147456	8192	24576	114688	BTree	0
dbo	tblConsolidacionCarteraDetalle	0	221184	8192	40960	172032	BTree	0
dbo	tblConsolidacionDetalle	19	1040384	8192	221184	811008	BTree	0
dbo	tblConsolidacionDetallePensionado	9	73728	8192	8192	57344	BTree	0
dbo	tblControlProceso	89	221184	8192	40960	172032	BTree	0
dbo	tblDeudaCabecera	24	147456	8192	24576	114688	BTree	0
dbo	tblDeudaDetalle	10	147456	8192	24576	114688	BTree	0
dbo	tblDeudaError	0	73728	16384	0	57344	BTree	0
dbo	tblEmailOperacion	9	212992	32768	8192	172032	BTree	0
dbo	tblEstado	69	147456	8192	24576	114688	BTree	0
dbo	tblEventoAuditoria	1119	557056	286720	122880	147456	BTree	0
dbo	tblFeriado	0	0	0	0	0	BTree	0
dbo	tblFuncionalidad	39	73728	8192	8192	57344	BTree	0
dbo	tblHistAfiliadoDetalle	40	397574144	8192	90112	397475840	BTree	0
dbo	tblHistAfiliadoError	0	352256	24576	40960	286720	BTree	0
dbo	tblHistCarteraCompradaDetalle	0	0	0	0	0	BTree	0
dbo	tblHistCarteraCompradaError	0	0	0	0	0	BTree	0
dbo	tblHistDeudaDetalle	71	270336	8192	32768	229376	BTree	0
dbo	tblHistDeudaError	0	352256	24576	40960	286720	BTree	0
dbo	tblHistRecaudacionDetalle	0	0	0	0	0	BTree	0
dbo	tblHistRecaudacionError	0	0	0	0	0	BTree	0
dbo	tblIndicadorResumen	2586920	209076224	144777216	63586304	712704	BTree	0
dbo	tblInstitucion	6	73728	8192	8192	57344	BTree	0
dbo	tblMenu	36	73728	8192	8192	57344	BTree	0
dbo	tblPagina	29	73728	8192	8192	57344	BTree	1
dbo	tblParametro	179	139264	32768	16384	90112	BTree	0
dbo	tblPassword	59	147456	8192	24576	114688	BTree	0
dbo	tblPerfil	17	73728	8192	8192	57344	BTree	0
dbo	tblPeriodo	16	73728	8192	8192	57344	BTree	0
dbo	tblPeriodoMora	9	73728	8192	8192	57344	BTree	0
dbo	tblRecaudacionCabecera	0	221184	8192	40960	172032	BTree	0
dbo	tblRecaudacionDetalle	0	0	0	0	0	BTree	0
dbo	tblRecaudacionError	0	0	0	0	0	BTree	0
dbo	tblRegistroConsolidacion	130	147456	8192	24576	114688	BTree	0
dbo	tblRel_FuncMenu	53	73728	8192	8192	57344	BTree	0
dbo	tblRel_FuncPagina	29	73728	8192	8192	57344	BTree	0
dbo	tblRel_PerfilFunc	181	73728	8192	8192	57344	BTree	0
dbo	tblRel_UsuarioPerfil	74	73728	8192	8192	57344	BTree	0
dbo	tblResumenConsolidacion	10	73728	8192	8192	57344	BTree	0
dbo	tblResumenConsolidacionPensionado	2	73728	8192	8192	57344	BTree	0
dbo	tblSessionUsuario	0	147456	8192	24576	114688	BTree	0
dbo	tblSUSESO_RutInhabilitado	0	73728	8192	8192	57344	BTree	0
dbo	tblSUSESO_TipoAfiliado	11	73728	8192	8192	57344	BTree	0
dbo	tblSUSESO_TipoIdentificador	3	73728	8192	8192	57344	BTree	0
dbo	tblTipoControlProceso	9	73728	8192	8192	57344	BTree	0
dbo	tblTipoEstado	9	73728	8192	8192	57344	BTree	0
dbo	tblTipoEventoAuditoria	6	73728	8192	8192	57344	BTree	0
dbo	tblTipoParametro	4	73728	8192	8192	57344	BTree	0
dbo	tblUnidad	4	73728	8192	8192	57344	BTree	0
dbo	tblUsuario	23	147456	8192	24576	114688	BTree	0
