Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	OPB_ANALYZE_DEP	4	147456	16384	24576	106496	Heap	0
dbo	OPB_ANALYZE_DEP_	0	0	0	0	0	Heap	0
dbo	OPB_ATTR	287	221184	98304	24576	98304	Heap	0
dbo	OPB_ATTR_CATEGORY	2	221184	24576	24576	172032	Heap	0
dbo	OPB_BCF_BUSCOMPS	0	0	0	0	0	Heap	0
dbo	OPB_BCF_BUSCOMPS_	0	0	0	0	0	Heap	0
dbo	OPB_BCF_TREE	0	0	0	0	0	Heap	0
dbo	OPB_BCF_TREE_	0	0	0	0	0	Heap	0
dbo	OPB_CFG_ATTR	590	221184	131072	40960	49152	Heap	0
dbo	OPB_CFG_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_CLIENT_CONN	21	147456	24576	24576	98304	Heap	0
dbo	OPB_CM_DEPDETAIL	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY_LOG	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY_REF	0	0	0	0	0	Heap	0
dbo	OPB_CM_LABEL	0	0	0	0	0	Heap	0
dbo	OPB_CM_LABEL_REF	0	0	0	0	0	Heap	0
dbo	OPB_CM_QUERY	0	0	0	0	0	Heap	0
dbo	OPB_CM_QUERY_PARAM	0	0	0	0	0	Heap	0
dbo	OPB_CNX	15	294912	57344	40960	196608	Heap	0
dbo	OPB_CNX_	0	0	0	0	0	Heap	0
dbo	OPB_CNX_ATTR	90	147456	40960	8192	98304	Heap	0
dbo	OPB_CNX_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_COMPONENT	6012	2867200	335872	2359296	172032	Heap	0
dbo	OPB_COMPONENT_	0	0	0	0	0	Heap	0
dbo	OPB_DBD	538	221184	40960	73728	106496	Heap	0
dbo	OPB_DBD_	0	0	0	0	0	Heap	0
