Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	OPB_ANALYZE_DEP	312	286720	90112	65536	131072	Heap	0
dbo	OPB_ANALYZE_DEP_	0	0	0	0	0	Heap	0
dbo	OPB_ATTR	287	221184	114688	40960	65536	Heap	0
dbo	OPB_ATTR_CATEGORY	2	221184	24576	24576	172032	Heap	0
dbo	OPB_BCF_BUSCOMPS	0	0	0	0	0	Heap	0
dbo	OPB_BCF_BUSCOMPS_	0	0	0	0	0	Heap	0
dbo	OPB_BCF_TREE	0	0	0	0	0	Heap	0
dbo	OPB_BCF_TREE_	0	0	0	0	0	Heap	0
dbo	OPB_CFG_ATTR	12708	3653632	2211840	770048	671744	Heap	0
dbo	OPB_CFG_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_CLIENT_CONN	26	278528	106496	24576	147456	Heap	0
dbo	OPB_CM_DEPDETAIL	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY_LOG	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY_REF	0	0	0	0	0	Heap	0
dbo	OPB_CM_LABEL	0	0	0	0	0	Heap	0
dbo	OPB_CM_LABEL_REF	0	0	0	0	0	Heap	0
dbo	OPB_CM_QUERY	1	147456	8192	24576	114688	Heap	0
dbo	OPB_CM_QUERY_PARAM	3	221184	24576	24576	172032	Heap	0
dbo	OPB_CNX	13	294912	73728	40960	180224	Heap	0
dbo	OPB_CNX_	0	0	0	0	0	Heap	0
dbo	OPB_CNX_ATTR	71	147456	90112	8192	49152	Heap	0
dbo	OPB_CNX_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_COMPONENT	52319	29417472	3612672	24346624	1458176	Heap	0
dbo	OPB_COMPONENT_	0	0	0	0	0	Heap	0
dbo	OPB_DBD	5193	1753088	499712	704512	548864	Heap	0
dbo	OPB_DBD_	0	0	0	0	0	Heap	0
dbo	OPB_DBDS	7727	1212416	319488	557056	335872	Heap	0
dbo	OPB_DBDS_	0	0	0	0	0	Heap	0
dbo	OPB_DTL_SWIDG_LOG	176708	89530368	70434816	13549568	5545984	Heap	0
dbo	OPB_DTL_SWIDG_LOG_	0	0	0	0	0	Heap	0
dbo	OPB_EVENT	43	286720	65536	40960	180224	Heap	0
dbo	OPB_EVENT_	0	0	0	0	0	Heap	0
dbo	OPB_EXPRESSION	148949	49037312	28360704	19546112	1130496	Heap	0
dbo	OPB_EXPRESSION_	0	0	0	0	0	Heap	0
dbo	OPB_EXTN_ATTR	268114	85884928	47046656	36225024	2613248	Heap	0
dbo	OPB_EXTN_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_FILE_DESC	20874	6537216	2654208	3244032	638976	Heap	0
dbo	OPB_FILE_DESC_	0	0	0	0	0	Heap	0
dbo	OPB_GEN_OBJ_REFS	0	0	0	0	0	Heap	0
dbo	OPB_GEN_OBJECT	0	0	0	0	0	Heap	0
dbo	OPB_GROUPS	0	0	0	0	0	Heap	0
dbo	OPB_HASH_KEY	0	0	0	0	0	Heap	0
dbo	OPB_HASH_KEY_	0	0	0	0	0	Heap	0
dbo	OPB_KEY_RANGE	0	0	0	0	0	Heap	0
dbo	OPB_KEY_RANGE_	0	0	0	0	0	Heap	0
dbo	OPB_KEYWORD	0	0	0	0	0	Heap	0
