Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	area_geog	751	73728	32768	16384	24576	BTree	0
dbo	bel_asig_foli	0	0	0	0	0	BTree	0
dbo	bel_cons_cara	0	73728	8192	8192	57344	BTree	0
dbo	bel_cons_rang	0	0	0	0	0	BTree	0
dbo	bel_cons_resu	0	73728	8192	8192	57344	BTree	0
dbo	bel_dato_refe	0	0	0	0	0	BTree	0
dbo	bel_desc_reca	0	0	0	0	0	BTree	0
dbo	bel_deta_codi	0	0	0	0	0	BTree	0
dbo	bel_deta_prse	0	0	0	0	0	BTree	0
dbo	bel_deta_subt	0	0	0	0	0	BTree	0
dbo	bel_enca_docu	0	0	0	0	0	BTree	0
dbo	bel_envi_docu	0	0	0	0	0	BTree	0
dbo	bel_envi_pdf	0	0	0	0	0	BTree	0
dbo	bel_foli_anul	0	0	0	0	0	BTree	0
dbo	bel_info_tick	0	0	0	0	0	BTree	0
dbo	bel_subt_info	0	0	0	0	0	BTree	0
dbo	bel_tido_envi	0	0	0	0	0	BTree	0
dbo	bel_unid_cont	0	0	0	0	0	BTree	0
dbo	bel_usua_pos	0	0	0	0	0	Heap	0
dbo	bel_xml	0	0	0	0	0	BTree	0
dbo	camb_mone	0	0	0	0	0	BTree	0
dbo	cara_gene	22	73728	8192	8192	57344	BTree	0
dbo	CARA_PEEM	0	0	0	0	0	BTree	0
dbo	cara_pers	0	0	0	0	0	BTree	0
dbo	cent_cost	1	294912	8192	57344	229376	BTree	0
dbo	DBN_CTRL_ARCH	0	0	0	0	0	BTree	0
dbo	DBN_LIMP_ARCH	0	0	0	0	0	Heap	0
dbo	DBN_LIMP_GRPO	0	0	0	0	0	Heap	0
dbo	DBN_LIMP_LOGG	0	0	0	0	0	Heap	0
dbo	dbn_list_boto	10	73728	8192	8192	57344	BTree	0
dbo	dbn_list_colu	69	147456	16384	24576	106496	Heap	0
dbo	dbn_list_repo	8	147456	24576	8192	114688	BTree	0
dbo	DBN_LOG_50	4847	1523712	1302528	139264	81920	Heap	0
dbo	dbn_mens_erro	0	0	0	0	0	BTree	0
dbo	DBN_MONI_PROC	39406	10895360	7143424	3588096	163840	BTree	0
dbo	DBN_MONI_STAT	27886	4661248	4481024	65536	114688	BTree	0
dbo	DBN_PARA_OPER	0	0	0	0	0	Heap	0
dbo	DBN_PARA_SERV	2	73728	8192	8192	57344	Heap	0
dbo	DBN_PROC_SERV	0	0	0	0	0	Heap	0
dbo	DBN_PROCESOS	5	73728	8192	8192	57344	BTree	0
dbo	dbn_repo_rous	2	73728	8192	8192	57344	BTree	0
dbo	DBN_SERV_SRVD	25	73728	8192	8192	57344	BTree	0
dbo	DBN_SERVICIO	26	73728	8192	8192	57344	BTree	0
dbo	DBN_SERVIDOR	3	73728	8192	8192	57344	BTree	0
dbo	DBN_SESR_RANG_OPER	25	73728	8192	8192	57344	BTree	0
dbo	dbn_traza_codi_serv	0	0	0	0	0	BTree	0
dbo	DBN_TRAZA_DOCU	0	606208	524288	32768	49152	Heap	0
dbo	dbnet_server	62	73728	16384	8192	49152	Heap	0
dbo	DBQ_ARCH	0	663552	8192	212992	442368	BTree	0
dbo	DBQ_ARCH_CLOB	0	81920	16384	16384	49152	BTree	0
dbo	dbq_cana	0	221184	8192	40960	172032	Heap	0
dbo	dbq_erro	0	147456	8192	24576	114688	Heap	0
dbo	DBQ_GRPO	0	221184	8192	65536	147456	BTree	0
dbo	DBQ_GRPO_ERRO	0	0	0	0	0	Heap	0
dbo	dbsr	1	73728	8192	8192	57344	BTree	0
dbo	DTE_ACCI_DOCU	0	0	0	0	0	BTree	0
dbo	dte_acec_empr	8	278528	8192	40960	229376	BTree	0
dbo	dte_acti_econ	1258	335872	262144	16384	57344	BTree	0
dbo	dte_anoto	0	0	0	0	0	BTree	0
dbo	DTE_ARCH_ADJU	0	0	0	0	0	BTree	0
dbo	dte_audi_foli	0	0	0	0	0	Heap	0
dbo	dte_audi_tran	0	0	0	0	0	Heap	0
