Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	actividad	129	73728	32768	16384	24576	BTree	0
dbo	actividadContr	263	73728	40960	16384	16384	BTree	0
dbo	archivo	49082	39313408	36552704	1613824	1146880	BTree	0
dbo	autorizaform	889186	48898048	42434560	294912	6168576	BTree	0
dbo	carpeta	35	73728	8192	8192	57344	Heap	0
dbo	consulta	295666	31989760	30310400	122880	1556480	BTree	0
dbo	contrato	28	73728	8192	8192	57344	BTree	0
dbo	contribuyente	63157	17309696	16498688	73728	737280	BTree	0
dbo	detalle	1652854	86646784	85270528	8192	1368064	Heap	0
dbo	dg_form	38224	3284992	3252224	8192	24576	Heap	0
dbo	documento	439	139264	40960	16384	81920	BTree	0
dbo	empresa	25	147456	8192	24576	114688	BTree	0
dbo	empresainstitucion	20	73728	8192	8192	57344	BTree	0
dbo	form22	96338	399687680	394551296	4071424	1064960	BTree	0
dbo	form29	955924	1999945728	1960583168	26787840	12574720	BTree	0
dbo	honorario	4553	401408	270336	16384	114688	BTree	0
dbo	logacs	99764	8527872	8495104	8192	24576	Heap	0
dbo	logact	526	139264	81920	8192	49152	Heap	0
dbo	logact_2	0	0	0	0	0	Heap	0
dbo	logerr	0	0	0	0	0	Heap	0
dbo	logsis	54	73728	8192	8192	57344	Heap	0
dbo	logtask	0	0	0	0	0	Heap	0
dbo	logtrx	44316	7872512	7725056	8192	139264	Heap	0
dbo	lotes	656	8929280	8855552	8192	65536	Heap	0
dbo	menu	13	73728	8192	8192	57344	BTree	0
dbo	migrations	0	0	0	0	0	Heap	0
dbo	perfil	10	73728	8192	8192	57344	BTree	0
dbo	perfilempresa	5	73728	8192	8192	57344	Heap	0
dbo	perfilmenu	46	73728	8192	8192	57344	BTree	0
dbo	propiedad	32463	6692864	6184960	73728	434176	BTree	0
dbo	representante	29670	2367488	2129920	16384	221184	BTree	0
dbo	servicio	7	73728	8192	8192	57344	BTree	0
dbo	serviciocontratado	65	73728	8192	8192	57344	BTree	0
dbo	situacion	40491	4071424	3817472	16384	237568	BTree	0
dbo	sociedad	49508	6430720	5824512	49152	557056	BTree	0
dbo	socio	56174	4530176	4038656	40960	450560	BTree	0
dbo	testable	2	73728	8192	8192	57344	Heap	0
dbo	timbrajes	4	73728	8192	8192	57344	Heap	0
dbo	usuario	2542	540672	212992	139264	188416	BTree	0
