Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	ADHOCAPPROVALS	0	0	0	0	0	BTree	0
dbo	ADMIN_IMPORT_USERS_LOGS	0	0	0	0	0	BTree	0
dbo	ALMACEN_ARCHIVOS	0	0	0	0	0	BTree	0
dbo	APROBACIONES	129	49152	8192	40960	0	BTree	0
dbo	ARCHIVOS	488	196608	180224	16384	0	BTree	0
dbo	AUD_RELATEDITEMS	7	16384	8192	8192	0	BTree	0
dbo	AUDITEDS	21	16384	8192	8192	0	BTree	0
dbo	AUDITORIAS	13	32768	24576	8192	0	BTree	0
dbo	AUDITORIASARCHIVOS	1	32768	24576	8192	0	BTree	0
dbo	AUDITORIASTIPOS	6	16384	8192	8192	0	BTree	0
dbo	AUDITORS	26	16384	8192	8192	0	BTree	0
dbo	AVA_ISSUE_TRACKING	18237	3481600	2572288	8192	901120	Heap	0
dbo	BS_IND_ASSESMENTS	12	32768	24576	8192	0	BTree	0
dbo	BS_IND_STATE_CACHE	0	24576	8192	16384	0	BTree	0
dbo	BS_INDICATORS	103	188416	131072	16384	40960	BTree	0
dbo	BS_INDICATORS_DATA_ARCHIVED	0	0	0	0	0	BTree	0
dbo	BS_INDICATORS_DATA_ARCHIVED_RE	0	0	0	0	0	Heap	0
dbo	BS_INDICATORS_LAST_CALCULATE	95	16384	8192	8192	0	BTree	0
dbo	BS_INDICATORS_NOTIFICATIONS	58	16384	8192	8192	0	BTree	0
dbo	BS_INDICATORS_OPTIONS	362	32768	16384	16384	0	BTree	0
dbo	BS_INDICATORS_RECALC_LOGS	2535	168771584	164683776	16384	4071424	BTree	0
dbo	BS_INDICATORS_RECALC_LOGS_OLD	0	0	0	0	0	Heap	0
dbo	BS_INDICATORSCATEGORIES	13	16384	8192	8192	0	BTree	0
dbo	BS_INDICATORSDATA	4779	401408	335872	16384	49152	BTree	0
dbo	BS_INDICATORSDATA_HISTORY	0	0	0	0	0	Heap	0
dbo	BS_INDICATORSREL	65	16384	8192	8192	0	BTree	0
dbo	BS_LOCATIONS	1	16384	8192	8192	0	BTree	0
dbo	BS_STRAT_NODE_TYPES	6	16384	8192	8192	0	BTree	0
dbo	BS_STRAT_NODES	1	32768	24576	8192	0	BTree	0
dbo	BS_STRAT_NODES_OPTIONS	0	0	0	0	0	BTree	0
dbo	BS_STRAT_NODES_RELATIONS	0	0	0	0	0	BTree	0
dbo	BS_STRAT_NODES_RELATIONS_TYPES	4	16384	8192	8192	0	BTree	0
dbo	BS_STRAT_NODES_RELS_STRENGTH	2	16384	8192	8192	0	BTree	0
dbo	BS_STRAT_PLANS	4	32768	24576	8192	0	BTree	0
dbo	BS_STRAT_PLANS_OPTIONS	1	16384	8192	8192	0	BTree	0
dbo	BS_STRATINITIATIVESTYPES	4	16384	8192	8192	0	BTree	0
dbo	BS_SVG	13	352256	286720	8192	57344	BTree	0
dbo	BS_SVG_OPTIONS	0	0	0	0	0	BTree	0
dbo	CARGOS_CANTIDAD_PERSONAS	0	0	0	0	0	BTree	0
dbo	CARGOSUSUARIOS	130	16384	8192	8192	0	BTree	0
dbo	CRITICAS	0	0	0	0	0	BTree	0
dbo	DATOSEMPRESA	1	16384	8192	8192	0	Heap	0
dbo	DATOSUSUARIOS	108	16384	8192	8192	0	BTree	0
dbo	DBVERSION	1	16384	8192	8192	0	Heap	0
dbo	DISTRIBUCION	310	49152	32768	16384	0	BTree	0
dbo	DOCUMENTOS	308	253952	147456	49152	57344	BTree	0
dbo	DOCUMENTOS_CHANGELOG	1	32768	24576	8192	0	BTree	0
dbo	DOCUMENTOS_EXTRADATA	41	16384	8192	8192	0	BTree	0
dbo	DOCUMENTOSCATEGORIAS	300	16384	8192	8192	0	BTree	0
dbo	DOCUMENTOSHISTORIA	27393	8601600	6365184	32768	2203648	BTree	0
dbo	DOCUMENTOSREL	0	0	0	0	0	BTree	0
dbo	DOCUMENTOSRELTRANS	0	0	0	0	0	BTree	0
dbo	DUAL	1	16384	8192	8192	0	Heap	0
dbo	ESTADOS	3	16384	8192	8192	0	BTree	0
dbo	ESTADOSPROCESOS	8	16384	8192	8192	0	BTree	0
dbo	ESTADOSTAREASDOCUMENTOS	3	16384	8192	8192	0	BTree	0
dbo	FROZEN_PRESENTATIONS_ITEMS	0	0	0	0	0	BTree	0
dbo	HISTORIAASUNTOS	880	2637824	2359296	16384	262144	BTree	0
dbo	HISTORIADIAGRAMAS	0	0	0	0	0	BTree	0
dbo	HISTORIAESTRATEGIAS	0	0	0	0	0	BTree	0
dbo	HISTORIAINDICADORES	0	0	0	0	0	BTree	0
dbo	HISTORIANODOSESTRATEGICOS	0	0	0	0	0	BTree	0
dbo	HISTORIANODOSPLANESPROCESO	0	0	0	0	0	BTree	0
dbo	HISTORIAPLANESPROCESO	0	0	0	0	0	BTree	0
dbo	IK_CLIENT_SETTINGS	0	0	0	0	0	BTree	0
dbo	IK_DFS	1	16384	8192	8192	0	BTree	0
dbo	IK_DS_SYNC_LOGS	0	0	0	0	0	Heap	0
dbo	IK_HTMLREPORTS_OPTIONS	0	0	0	0	0	BTree	0
dbo	IK_PEOPLE	140	139264	65536	16384	57344	BTree	0
dbo	IK_PEOPLE_HISTORY	5570	4931584	4112384	8192	811008	Heap	0
dbo	IK_SURVEY_1	0	0	0	0	0	Heap	0
dbo	IK_SURVEY_2	0	0	0	0	0	Heap	0
dbo	IK_SURVEY_3	2	32768	24576	8192	0	Heap	0
dbo	IK_SURVEY_4	5	32768	24576	8192	0	Heap	0
dbo	IK_SURVEY_9	0	0	0	0	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_1	2	16384	8192	8192	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_2	0	0	0	0	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_3	7	16384	8192	8192	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_4	7	16384	8192	8192	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_9	7	16384	8192	8192	0	Heap	0
dbo	IK_TEMPGUIDS	0	0	0	0	0	Heap	0
dbo	IKALERTS	1	32768	24576	8192	0	BTree	0
dbo	IKALERTS_HISTORY	0	0	0	0	0	Heap	0
dbo	IKALERTS_TARGETS	1	16384	8192	8192	0	BTree	0
dbo	IKALERTS_TMP	1	106496	40960	8192	57344	Heap	0
dbo	IKALERTS_USERS_OPTIONS	0	0	0	0	0	BTree	0
dbo	IKERRORLOG	3652	6045696	4497408	16384	1531904	BTree	0
dbo	IKERRORLOG_OLD	0	0	0	0	0	Heap	0
dbo	IKEXECUTIONAUTHORIZATION	0	0	0	0	0	Heap	0
dbo	IKFILES	1	16384	8192	8192	0	BTree	0
dbo	IKFILESVER	13756	1646592	1622016	8192	16384	Heap	0
dbo	IKFOROS	607	73728	57344	16384	0	BTree	0
dbo	IKFOROSARCHIVOS	39	40960	32768	8192	0	BTree	0
dbo	IKFOROSMENSAJES	52	81920	49152	32768	0	BTree	0
dbo	IKFOROSNOVEDADES	275	73728	24576	49152	0	BTree	0
dbo	IKFOROSNOVEDADES_OLD	0	0	0	0	0	Heap	0
dbo	IKFOROSSUSCRIPTORES	1798	450560	212992	131072	106496	BTree	0
dbo	IKI_BSINDICATORS	0	0	0	0	0	BTree	0
dbo	IKI_BSSTRATNODES	0	0	0	0	0	BTree	0
dbo	IKI_BSSTRATPLANS	0	0	0	0	0	BTree	0
dbo	IKI_DOCUMENTS	1	16384	8192	8192	0	BTree	0
dbo	IKI_FILES	1	16384	8192	8192	0	BTree	0
dbo	IKI_IKPEOPLE	0	0	0	0	0	BTree	0
dbo	IKI_ISSUES	0	0	0	0	0	BTree	0
dbo	IKI_ISSUESTASKS	0	0	0	0	0	BTree	0
dbo	IKI_MASTER	518	40960	24576	16384	0	BTree	0
dbo	IKI_NAXCHARTS	0	0	0	0	0	BTree	0
dbo	IKI_ORGCHART	0	0	0	0	0	BTree	0
dbo	IKI_PROCNODES	0	0	0	0	0	BTree	0
dbo	IKI_PROCPLANS	0	0	0	0	0	BTree	0
dbo	IKI_SVGDRAWINGS	1	16384	8192	8192	0	BTree	0
dbo	IKMAILS	0	90112	16384	16384	57344	BTree	0
dbo	IKNOTIFICACIONES	7019	6897664	5988352	16384	892928	BTree	0
dbo	IKNOTIFICACIONES_OLD	0	0	0	0	0	Heap	0
dbo	IKNOTIFICACIONES_OPCIONES	6168	466944	450560	16384	0	BTree	0
dbo	IKNOTIFICACIONES_PROFILES	108	32768	16384	16384	0	BTree	0
dbo	IKPOSITIONSGROUPS	126	16384	8192	8192	0	BTree	0
dbo	IKPOSITIONSGROUPSTREE	6	16384	8192	8192	0	BTree	0
dbo	IKPROFILES	2	16384	8192	8192	0	BTree	0
dbo	IKREGCOMPONENTS	18	16384	8192	8192	0	Heap	0
dbo	IKROLES	0	0	0	0	0	BTree	0
dbo	IKROLES_ASUNTOS	0	0	0	0	0	BTree	0
dbo	IKROLES_ASUNTOS4TPROT	0	0	0	0	0	BTree	0
dbo	IKROLES_NCINVOLUCRADOS	0	0	0	0	0	BTree	0
dbo	IKROLES_NCINVOLUCRADOS4TPROT	0	0	0	0	0	BTree	0
dbo	IKROLES_NCTAREAS	0	0	0	0	0	BTree	0
dbo	IKROLES_NCTASKSSTEPS	0	0	0	0	0	BTree	0
dbo	IKROLES_TPROT_TASK	0	0	0	0	0	BTree	0
dbo	IKROLES_TPROT_TASKSSTEPS	0	0	0	0	0	BTree	0
dbo	IKSAVEDSEARCHES	0	0	0	0	0	BTree	1
dbo	IKSKINS	2	16384	8192	8192	0	BTree	0
dbo	IKUSERLOGINS	2021	1122304	778240	16384	327680	BTree	0
dbo	IKUSERLOGINS_OLD	0	0	0	0	0	Heap	0
dbo	IKUSERLOGS	13589	12345344	3637248	6889472	1818624	BTree	0
dbo	IKUSERLOGS_OLD	0	0	0	0	0	Heap	0
dbo	INTERNACIONAL	2	16384	8192	8192	0	BTree	0
dbo	LUGARES	1	16384	8192	8192	0	BTree	0
dbo	MARCODOCUMENTOSREL	8	16384	8192	8192	0	BTree	0
dbo	MATRIZ_APROBACIONES	0	0	0	0	0	BTree	0
dbo	MIEMBROSGRUPO	0	0	0	0	0	BTree	0
dbo	MODULE_COORDINATORS	270	24576	16384	8192	0	Heap	0
dbo	MODULE_INVOLVEDS	210	16384	8192	8192	0	Heap	0
dbo	MODULE_SENDMAIL	7	16384	8192	8192	0	Heap	0
dbo	NAX_RESOURCES	4514	811008	647168	8192	155648	Heap	0
dbo	NAX_RESOURCES_EN	4511	860160	811008	16384	32768	BTree	0
dbo	NAX_RESOURCES_ES	4514	1073152	933888	16384	122880	BTree	0
dbo	NAX_RESOURCES_PT	4195	1007616	843776	16384	147456	BTree	0
dbo	NAX_ULOGS	0	0	0	0	0	Heap	0
dbo	NAX_ULOGS_DESCRIPTION	0	0	0	0	0	Heap	0
dbo	NAXCHARTS	0	0	0	0	0	Heap	0
dbo	NC_FILES	9	16384	8192	8192	0	BTree	0
dbo	NC_FILESCATEGORIES	8	73728	8192	8192	57344	BTree	0
dbo	NC_TASKFILES	0	0	0	0	0	BTree	0
dbo	NC_WF_ETAPAS_DISCONTINUED	162	65536	49152	16384	0	BTree	0
dbo	NCACCESSLEVELSTYPES	3	16384	8192	8192	0	BTree	0
dbo	NCCAUSASCLASES	1	16384	8192	8192	0	BTree	0
dbo	NCCC_SECURITY	8	73728	8192	8192	57344	BTree	0
dbo	NCCLASES	393	139264	73728	16384	49152	BTree	0
dbo	NCCOSTOS	0	0	0	0	0	BTree	0
dbo	NCCOSTOSCATEGORIAS	4	16384	8192	8192	0	BTree	0
dbo	NCCOSTOSCLASES	1	16384	8192	8192	0	BTree	0
dbo	NCDEFINICIONETAPAS	71	81920	24576	16384	40960	BTree	0
dbo	NCDETECTANTES	1	16384	8192	8192	0	BTree	0
dbo	NCESTADOS	4	16384	8192	8192	0	BTree	0
dbo	NCETAPAS	204	196608	98304	16384	81920	BTree	0
dbo	NCINTERRELACIONES	0	0	0	0	0	BTree	0
dbo	NCINVOLUCRADOS	144	32768	16384	16384	0	BTree	0
dbo	NCMAINPROD	61	106496	57344	49152	0	BTree	0
dbo	NCMODULESECURITYLEVELS	112	16384	8192	8192	0	BTree	0
dbo	NCSECURITYLEVELSDESCRIPTION	19	16384	8192	8192	0	BTree	0
dbo	NCTAREAS	50	212992	65536	147456	0	BTree	0
dbo	NCTAREAS_DEPENDENCIES	0	0	0	0	0	BTree	0
dbo	NCTAREASDESTINATARIOS	112	65536	32768	32768	0	BTree	0
dbo	NCTASKS_NOT_WORKING_DAYS	0	0	0	0	0	BTree	0
dbo	NCTASKSPEOPLE	0	0	0	0	0	BTree	0
dbo	NCTASKSSTEPS	0	0	0	0	0	BTree	0
dbo	NCTASKSSTEPSRESPONSIBLES	0	0	0	0	0	BTree	0
dbo	NCWORKGROUPS	0	0	0	0	0	BTree	0
dbo	ORGANIGRAMA	183	139264	81920	16384	40960	BTree	0
dbo	ORGANIGRAMAREL_OLD	0	0	0	0	0	BTree	0
