Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	ISP_MASTER_ELECT_LOCK	1	147456	8192	24576	114688	Heap	0
dbo	ISP_MASTER_ELECTION	1	73728	32768	8192	32768	Heap	0
dbo	ISP_RUN_LOG	20132	9060352	6160384	2482176	417792	Heap	0
dbo	PC_AUDITLOG	2	147456	32768	8192	106496	BTree	0
dbo	PC_DBOBJECT	153	147456	49152	24576	73728	Heap	0
dbo	PC_DBRCONFIG	2	147456	24576	8192	114688	BTree	0
dbo	PC_ICLASS_SIG	337	204800	147456	16384	40960	BTree	0
dbo	PC_NAMESPACE	5	147456	8192	24576	114688	BTree	0
dbo	PC_NAMESPACE_SEQUENCE	0	0	0	0	0	BTree	0
dbo	PC_ORMSTATE	2	4341760	4251648	8192	81920	BTree	0
dbo	PC_PACKAGE	59	147456	16384	32768	98304	BTree	0
dbo	PC_PREPROCESS_KV_ENTRY	0	0	0	0	0	BTree	0
dbo	PC_REPOSITORY	1	73728	8192	8192	57344	BTree	0
dbo	PC_UPGRADE_LOG	0	81920	16384	16384	49152	BTree	0
dbo	PO_ALERT	0	0	0	0	0	BTree	0
dbo	PO_ANNOTATION	1	294912	24576	40960	229376	BTree	0
dbo	PO_ATTRIBUTES	0	0	0	0	0	BTree	0
dbo	PO_CALUSAGE	0	0	0	0	0	BTree	0
dbo	PO_CLOUDORG	0	0	0	0	0	BTree	0
dbo	PO_CLOUDSERVICECONFIGURAT	1	221184	8192	40960	172032	BTree	0
dbo	PO_CLUSTERCONF	0	0	0	0	0	BTree	0
dbo	PO_CODEPAGE	0	0	0	0	0	BTree	0
dbo	PO_CODEPAGESYSTEM	0	0	0	0	0	BTree	0
dbo	PO_COLLECTIONENTRY_0	505	434176	90112	114688	229376	BTree	0
dbo	PO_COLLECTIONENTRY_1	443	434176	65536	114688	253952	BTree	0
dbo	PO_COLLECTIONENTRY_2	467	434176	65536	122880	245760	BTree	0
dbo	PO_COLLECTIONENTRY_3	428	434176	65536	114688	253952	BTree	0
dbo	PO_COLLECTIONENTRY_4	438	434176	73728	114688	245760	BTree	0
dbo	PO_COLLECTIONENTRY_5	440	434176	73728	114688	245760	BTree	0
dbo	PO_COLLECTIONENTRY_6	457	434176	81920	122880	229376	BTree	0
dbo	PO_COLLECTIONENTRY_7	449	434176	73728	114688	245760	BTree	0
dbo	PO_COLLECTIONENTRY_8	767	499712	131072	147456	221184	BTree	0
dbo	PO_COLLECTIONENTRY_9	572	434176	106496	131072	196608	BTree	0
dbo	PO_COMMAND	0	0	0	0	0	BTree	0
dbo	PO_COMPUTENODECONFIGURATI	0	0	0	0	0	BTree	0
dbo	PO_CONFFETCHERPARAMETER	0	0	0	0	0	BTree	0
dbo	PO_CONFNAMESPACE	0	0	0	0	0	BTree	0
dbo	PO_CONFPROPERTY	0	0	0	0	0	BTree	0
dbo	PO_CONNECTINFO	0	0	0	0	0	BTree	0
dbo	PO_CONNECTINFOCLASSIFIERC	0	0	0	0	0	BTree	0
dbo	PO_CONNECTIONPOOLATTRIBUT	0	0	0	0	0	BTree	0
dbo	PO_CONTEXT	0	0	0	0	0	BTree	0
dbo	PO_DATAMAPTYPE	0	0	0	0	0	BTree	0
dbo	PO_DBCONNECTIVITY	0	0	0	0	0	BTree	0
dbo	PO_DEFAULTOSPROFILE	0	0	0	0	0	BTree	0
dbo	PO_DOMAINOBJ	10	294912	24576	40960	229376	BTree	0
dbo	PO_DOMAINOBJECTLOCATE	0	0	0	0	0	BTree	0
dbo	PO_DOMAINSERVICECONFIG	1	221184	8192	40960	172032	BTree	0
dbo	PO_DOMAINUSAGE	1058	745472	327680	204800	212992	BTree	0
dbo	PO_EARLIERINFAHOMECONFIG	0	0	0	0	0	BTree	0
dbo	PO_EARLIERVERSIONDOMAINOB	1	221184	8192	40960	172032	BTree	0
dbo	PO_ENDPOINT	0	0	0	0	0	BTree	0
dbo	PO_EXTENSIONATTRIBUTE	0	0	0	0	0	BTree	0
dbo	PO_EXTENSIONCONTAINER	0	0	0	0	0	BTree	0
dbo	PO_FEATURE	42	294912	32768	49152	212992	BTree	0
dbo	PO_FILEINF1	0	0	0	0	0	BTree	0
dbo	PO_FILEINFO	0	0	0	0	0	BTree	0
dbo	PO_FOLDER	54	221184	16384	49152	155648	BTree	0
dbo	PO_FTPCONNECTIONATTRIBUTE	0	0	0	0	0	BTree	0
dbo	PO_GLOSSARY	0	0	0	0	0	BTree	0
dbo	PO_HADOOPDISTRIBUTION	0	0	0	0	0	BTree	0
dbo	PO_HADOOPIMPERSONATIONPRO	0	0	0	0	0	BTree	0
dbo	PO_HOSTUSAGE	1058	811008	352256	204800	253952	BTree	0
dbo	PO_HTTPFILEINFO	0	0	0	0	0	BTree	0
dbo	PO_HTTPSINFO	0	0	0	0	0	BTree	0
dbo	PO_IDOBJ	94	221184	24576	65536	131072	BTree	0
dbo	PO_IDTOQUALNAMES	1679	335872	286720	16384	32768	BTree	0
dbo	PO_IMFPACKAGEUPGRADEINFO	0	0	0	0	0	BTree	0
dbo	PO_ISPBOOLEAN	0	0	0	0	0	BTree	0
dbo	PO_ISPINTEGER	0	0	0	0	0	BTree	0
dbo	PO_ISPLONG	0	0	0	0	0	BTree	0
dbo	PO_ISPSTRING	0	0	0	0	0	BTree	0
dbo	PO_LDAPNAMESPACE	0	0	0	0	0	BTree	0
dbo	PO_LDAPOPTIONS	1	221184	8192	40960	172032	BTree	0
dbo	PO_LICENSEDSERVICE	0	0	0	0	0	BTree	0
dbo	PO_LICENSEFEATURES	0	0	0	0	0	BTree	0
dbo	PO_LICENSEHOSTSERVICES	1057	352256	122880	131072	98304	BTree	0
dbo	PO_LICENSEOPTION	0	0	0	0	0	BTree	0
dbo	PO_LICENSEUSAGE	2	221184	8192	40960	172032	BTree	0
