Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	tbl_casi	114	286720	16384	49152	221184	BTree	0
dbo	tbl_cdex	4	147456	8192	24576	114688	BTree	0
dbo	tbl_cerr	298	139264	24576	16384	98304	BTree	0
dbo	tbl_corr	2	73728	8192	8192	57344	BTree	0
dbo	tbl_desc	130	147456	16384	24576	106496	Heap	0
dbo	tbl_dest	20	73728	8192	8192	57344	BTree	0
dbo	tbl_estadomigracion	1	73728	8192	8192	57344	Heap	0
dbo	tbl_estr	91	475136	57344	32768	385024	BTree	0
dbo	tbl_estt	30	73728	8192	8192	57344	BTree	0
dbo	tbl_feri	135	73728	8192	8192	57344	Heap	0
dbo	tbl_hpro	24	147456	8192	24576	114688	BTree	0
dbo	tbl_hres	21915	1384448	1286144	16384	81920	BTree	0
dbo	tbl_htra	976152	74563584	56352768	18087936	122880	BTree	0
dbo	tbl_inst	67	73728	8192	8192	57344	BTree	0
dbo	tbl_limp	328102	46514176	24363008	19668992	2482176	BTree	0
dbo	tbl_opca	157450	6299648	6184960	40960	73728	BTree	0
dbo	tbl_oppr	0	0	0	0	0	BTree	0
dbo	tbl_param	1	73728	8192	8192	57344	Heap	0
dbo	tbl_prod	6	73728	8192	8192	57344	BTree	0
dbo	tbl_resc	12214	1523712	827392	450560	245760	BTree	0
dbo	tbl_serv	2	73728	8192	8192	57344	BTree	0
dbo	tbl_tarc	280339	31014912	23273472	7266304	475136	BTree	0
dbo	tbl_tmp	82	73728	8192	8192	57344	Heap	0
dbo	tbl_tpro	6	147456	8192	24576	114688	BTree	0
dbo	tbl_user	2	73728	8192	8192	57344	BTree	0
dbo	tblConfigLogTrazabilidad	0	0	0	0	0	Heap	0
dbo	tblCorrelativo	231	147456	8192	24576	114688	Heap	0
dbo	tblCorrelativoR04R05	1	73728	8192	8192	57344	Heap	0
dbo	tblEnvioAutomR04R05	22	73728	8192	8192	57344	Heap	0
dbo	tblMsAlerta	4	73728	8192	8192	57344	Heap	0
dbo	tblParametro	21	147456	8192	24576	114688	Heap	0
dbo	tblPassword	83	147456	16384	24576	106496	Heap	0
dbo	tblPerfil	6	147456	8192	24576	114688	Heap	0
dbo	tblPrivilegio	38	73728	8192	8192	57344	Heap	0
dbo	tblRegistroLogTrazabilidad	480998	15802368	14188544	8192	1605632	Heap	0
dbo	tblRelPrivilegioPerfil	57	147456	8192	24576	114688	Heap	0
dbo	tblRelTipoArchivoUsuario	154	147456	24576	24576	98304	Heap	0
dbo	tblTicket	0	0	0	0	0	Heap	0
dbo	tblTipoArchivo	22	147456	8192	24576	114688	Heap	0
dbo	tblTransDescarga	0	0	0	0	0	Heap	0
dbo	tblTransEnvio	432	417792	73728	73728	270336	Heap	0
dbo	tblTransRespuesta	5	221184	8192	40960	172032	Heap	0
dbo	tblUsuario	43	221184	8192	40960	172032	Heap	0
dbo	TEMP_ALERTA_BACKUP_LOG	3	73728	8192	8192	57344	Heap	0
