Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	DuplicadorJob	1	73728	8192	8192	57344	BTree	0
dbo	DuplicadorJobDetalle	1	147456	24576	8192	114688	BTree	0
dbo	DuplicadorMensaje	1	73728	8192	8192	57344	BTree	1
dbo	TBJJNL01A	0	0	0	0	0	Heap	0
dbo	tblBitacora	0	0	0	0	0	BTree	0
dbo	tblBitacoraDetalle	0	0	0	0	0	BTree	1
dbo	tblBroadcast	0	0	0	0	0	BTree	0
dbo	tblBroadcastCliente	0	0	0	0	0	BTree	0
dbo	tblCalendario	0	0	0	0	0	BTree	0
dbo	tblClienteConmutador	0	0	0	0	0	BTree	0
dbo	tblClienteConmutadorDetalle	0	0	0	0	0	BTree	0
dbo	tblClienteMensajeAutorizad	0	0	0	0	0	BTree	0
dbo	tblComponenteDetalle	0	0	0	0	0	BTree	1
dbo	tblFormulario	0	0	0	0	0	BTree	0
dbo	tblFormularioSeccion	0	0	0	0	0	BTree	0
dbo	tblInformeClave	0	0	0	0	0	BTree	0
dbo	tblMensaje_DU	0	0	0	0	0	Heap	0
dbo	tblMensajeComponente	0	0	0	0	0	BTree	0
dbo	tblMenu	0	0	0	0	0	BTree	0
dbo	tblParametro	0	0	0	0	0	BTree	0
dbo	tblParametro_DU	0	0	0	0	0	Heap	0
dbo	tblPerfil	0	0	0	0	0	BTree	0
dbo	tblPerfilFormulario	0	0	0	0	0	BTree	0
dbo	tblRol	0	0	0	0	0	BTree	0
dbo	tblSecuenciaClave	0	0	0	0	0	BTree	0
dbo	tblTextoSistema	0	0	0	0	0	BTree	0
dbo	tblTipoMensaje	0	0	0	0	0	BTree	0
dbo	tblUsuario	0	0	0	0	0	BTree	0
dbo	tblUsuarioAsignacion	0	0	0	0	0	BTree	1
dbo	tblUsuarioDetalle	0	0	0	0	0	BTree	0
dbo	tblUsuarioRol	0	0	0	0	0	BTree	0
