Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	OPB_ANALYZE_DEP	0	0	0	0	0	Heap	0
dbo	OPB_ANALYZE_DEP_	0	0	0	0	0	Heap	0
dbo	OPB_ATTR	287	221184	98304	24576	98304	Heap	0
dbo	OPB_ATTR_CATEGORY	2	221184	24576	24576	172032	Heap	0
dbo	OPB_BCF_BUSCOMPS	0	0	0	0	0	Heap	0
dbo	OPB_BCF_BUSCOMPS_	0	0	0	0	0	Heap	0
dbo	OPB_BCF_TREE	0	0	0	0	0	Heap	0
dbo	OPB_BCF_TREE_	0	0	0	0	0	Heap	0
dbo	OPB_CFG_ATTR	7898	2203648	1196032	434176	573440	Heap	0
dbo	OPB_CFG_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_CLIENT_CONN	28	278528	98304	24576	155648	Heap	0
dbo	OPB_CM_DEPDETAIL	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY_LOG	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY_REF	0	0	0	0	0	Heap	0
dbo	OPB_CM_LABEL	0	0	0	0	0	Heap	0
dbo	OPB_CM_LABEL_REF	0	0	0	0	0	Heap	0
dbo	OPB_CM_QUERY	0	0	0	0	0	Heap	0
dbo	OPB_CM_QUERY_PARAM	0	0	0	0	0	Heap	0
dbo	OPB_CNX	19	294912	57344	40960	196608	Heap	0
dbo	OPB_CNX_	0	0	0	0	0	Heap	0
dbo	OPB_CNX_ATTR	105	147456	65536	8192	73728	Heap	0
dbo	OPB_CNX_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_COMPONENT	31587	15704064	1785856	11599872	2318336	Heap	0
dbo	OPB_COMPONENT_	0	0	0	0	0	Heap	0
dbo	OPB_DBD	2597	811008	245760	262144	303104	Heap	0
dbo	OPB_DBD_	0	0	0	0	0	Heap	0
dbo	OPB_DBDS	4378	540672	139264	212992	188416	Heap	0
dbo	OPB_DBDS_	0	0	0	0	0	Heap	0
dbo	OPB_DTL_SWIDG_LOG	561056	249569280	199368704	31006720	19193856	Heap	0
dbo	OPB_DTL_SWIDG_LOG_	0	0	0	0	0	Heap	0
dbo	OPB_EVENT	20	286720	57344	40960	188416	Heap	0
dbo	OPB_EVENT_	0	0	0	0	0	Heap	0
dbo	OPB_EXPRESSION	75441	22315008	12320768	7725056	2269184	Heap	0
dbo	OPB_EXPRESSION_	0	0	0	0	0	Heap	0
dbo	OPB_EXTN_ATTR	154103	44924928	23609344	15720448	5595136	Heap	0
dbo	OPB_EXTN_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_FILE_DESC	11784	3842048	1400832	1687552	753664	Heap	0
dbo	OPB_FILE_DESC_	0	0	0	0	0	Heap	0
dbo	OPB_GEN_OBJ_REFS	0	0	0	0	0	Heap	0
dbo	OPB_GEN_OBJECT	0	0	0	0	0	Heap	0
dbo	OPB_GROUPS	0	0	0	0	0	Heap	0
dbo	OPB_HASH_KEY	0	0	0	0	0	Heap	0
dbo	OPB_HASH_KEY_	0	0	0	0	0	Heap	0
dbo	OPB_KEY_RANGE	0	0	0	0	0	Heap	0
dbo	OPB_KEY_RANGE_	0	0	0	0	0	Heap	0
dbo	OPB_KEYWORD	0	0	0	0	0	Heap	0
dbo	OPB_KEYWORD_	0	0	0	0	0	Heap	0
dbo	OPB_LINK_MCR_DEP	0	0	0	0	0	Heap	0
dbo	OPB_LINK_MCR_DEP_	0	0	0	0	0	Heap	0
dbo	OPB_MACRO	3	294912	24576	40960	229376	Heap	0
dbo	OPB_MACRO_	0	0	0	0	0	Heap	0
dbo	OPB_MACRO_ARGS	3	147456	8192	24576	114688	Heap	0
dbo	OPB_MACRO_ARGS_	0	0	0	0	0	Heap	0
dbo	OPB_MACRO_EXPR	6	221184	24576	24576	172032	Heap	0
dbo	OPB_MACRO_EXPR_	0	0	0	0	0	Heap	0
dbo	OPB_MACRO_REF	0	0	0	0	0	Heap	0
dbo	OPB_MACRO_REF_	0	0	0	0	0	Heap	0
dbo	OPB_MAP_OPTIONS	0	0	0	0	0	Heap	0
dbo	OPB_MAP_OPTIONS_	0	0	0	0	0	Heap	0
dbo	OPB_MAP_PARMVAR	4817	1269760	638976	360448	270336	Heap	0
dbo	OPB_MAP_PARMVAR_	0	0	0	0	0	Heap	0
dbo	OPB_MAP_PERSISVAL	3847	1400832	868352	139264	393216	Heap	0
dbo	OPB_MAP_PERSISVAL_	0	0	0	0	0	Heap	0
dbo	OPB_MAP_TARG_INFO	28675	3178496	1048576	1507328	622592	Heap	0
dbo	OPB_MAP_TARG_INFO_	0	0	0	0	0	Heap	0
dbo	OPB_MAPPING	2544	1155072	548864	237568	368640	Heap	0
dbo	OPB_MAPPING_	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_FIELD	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_FIELD_	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_HRCHY	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_HRCHY_	0	0	0	0	0	Heap	0
dbo	OPB_MD_DIMENSION	0	0	0	0	0	Heap	0
dbo	OPB_MD_DIMENSION_	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_FIELD	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_FIELD_	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_LEVEL	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_LEVEL_	0	0	0	0	0	Heap	0
dbo	OPB_MD_HIER_GRAPH	0	0	0	0	0	Heap	0
dbo	OPB_MD_HIER_GRAPH_	0	0	0	0	0	Heap	0
dbo	OPB_MD_HIERARCHY	0	0	0	0	0	Heap	0
dbo	OPB_MD_HIERARCHY_	0	0	0	0	0	Heap	0
dbo	OPB_MD_LEVEL	0	0	0	0	0	Heap	0
dbo	OPB_MD_LEVEL_	0	0	0	0	0	Heap	0
dbo	OPB_MD_LEVEL_FIELD	0	0	0	0	0	Heap	0
dbo	OPB_MD_LEVEL_FIELD_	0	0	0	0	0	Heap	0
dbo	OPB_MD_LVL_HRCHY	0	0	0	0	0	Heap	0
dbo	OPB_MD_LVL_HRCHY_	0	0	0	0	0	Heap	0
dbo	OPB_METAEXT_VAL	2991	3137536	2072576	417792	647168	Heap	0
dbo	OPB_METAEXT_VAL_	0	0	0	0	0	Heap	0
dbo	OPB_MMD_CATALOG	49	221184	24576	24576	172032	Heap	0
dbo	OPB_MMD_CATTR_VAL	229	147456	16384	24576	106496	Heap	0
dbo	OPB_MMD_CATTR2EXTN	8	73728	8192	8192	57344	Heap	0
dbo	OPB_MMD_CFG_ATTR	42	147456	32768	8192	106496	Heap	0
dbo	OPB_MMD_CFGAT_VAL	24	73728	8192	8192	57344	Heap	0
dbo	OPB_MMD_CNX	78	147456	8192	24576	114688	Heap	0
dbo	OPB_MMD_CNX_ATTR	903	417792	311296	73728	32768	Heap	0
dbo	OPB_MMD_DATATYPE	2412	344064	147456	122880	73728	Heap	0
