Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	actividad	157	106496	32768	24576	49152	BTree	0
dbo	actividadContr	363	32768	16384	16384	0	BTree	0
dbo	archivo	145769	33794252800	33787592704	4816896	1843200	BTree	0
dbo	autorizaform	891793	32391168	31735808	237568	417792	BTree	0
dbo	carpeta	35	16384	8192	8192	0	Heap	0
dbo	consulta	297805	26624000	26198016	114688	311296	BTree	0
dbo	contrato	28	16384	8192	8192	0	BTree	0
dbo	contribuyente	63197	16400384	15933440	73728	393216	BTree	0
dbo	detalle	1667392	62930944	62341120	16384	573440	Heap	0
dbo	dg_form	38224	2826240	2801664	8192	16384	Heap	0
dbo	documento	725	188416	49152	24576	114688	BTree	0
dbo	empresa	25	32768	8192	24576	0	BTree	0
dbo	empresainstitucion	20	16384	8192	8192	0	BTree	0
dbo	form22	96450	290750464	285155328	4538368	1056768	BTree	0
dbo	form29	957024	2040758272	2012266496	27295744	1196032	BTree	0
dbo	honorario	4594	409600	253952	24576	131072	BTree	0
dbo	logacs	99764	7348224	7331840	8192	8192	Heap	0
dbo	logact	526	139264	81920	8192	49152	Heap	0
dbo	logact_2	0	0	0	0	0	Heap	0
dbo	logerr	0	0	0	0	0	Heap	0
dbo	logsis	54	16384	8192	8192	0	Heap	0
dbo	logtask	0	0	0	0	0	Heap	0
dbo	logtrx	44316	7348224	7299072	8192	40960	Heap	0
dbo	lotes	701	47603712	47382528	8192	212992	Heap	0
dbo	menu	13	16384	8192	8192	0	BTree	0
dbo	migrations	0	0	0	0	0	Heap	0
dbo	perfil	10	16384	8192	8192	0	BTree	0
dbo	perfilempresa	5	16384	8192	8192	0	Heap	0
dbo	perfilmenu	46	16384	8192	8192	0	BTree	0
dbo	propiedad	32573	6504448	6176768	81920	245760	BTree	0
dbo	representante	29701	2244608	1851392	24576	368640	BTree	0
dbo	servicio	7	16384	8192	8192	0	BTree	0
dbo	serviciocontratado	65	16384	8192	8192	0	BTree	0
dbo	situacion	40491	3284992	3235840	16384	32768	BTree	0
dbo	sociedad	49540	5718016	5193728	57344	466944	BTree	0
dbo	socio	56287	3817472	3383296	40960	393216	BTree	0
dbo	sysdiagrams	0	0	0	0	0	Heap	1
dbo	testable	2	16384	8192	8192	0	Heap	0
dbo	timbrajes	4	16384	8192	8192	0	Heap	0
dbo	usuario	2550	409600	180224	163840	65536	BTree	0
