Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	leo	18019	663552	655360	8192	0	Heap	0
dbo	leo1	18168	794624	753664	8192	32768	Heap	0
dbo	leo2	18019	663552	655360	8192	0	Heap	0
dbo	sysdiagrams	0	0	0	0	0	Heap	1
dbo	tblAfiliadoCabecera	30	32768	8192	24576	0	BTree	0
dbo	tblAfiliadoDetalle	0	0	0	0	0	BTree	0
dbo	tblAfiliadoError	0	73728	32768	0	40960	BTree	0
dbo	tblCarteraCompradaCabecera	0	16384	8192	8192	0	BTree	0
dbo	tblCarteraCompradaDetalle	0	0	0	0	0	BTree	0
dbo	tblCarteraCompradaError	0	73728	16384	0	57344	BTree	0
dbo	tblCierreFueraPlazo	0	0	0	0	0	BTree	0
dbo	tblCodigoError	86	16384	8192	8192	0	BTree	0
dbo	tblConsolidacionCabecera	3	32768	8192	24576	0	BTree	0
dbo	tblConsolidacionCabeceraPensionado	3	147456	8192	24576	114688	BTree	0
dbo	tblConsolidacionCarteraCabecera	3	32768	8192	24576	0	BTree	0
dbo	tblConsolidacionCarteraDetalle	104949	62873600	39313408	23273472	286720	BTree	0
dbo	tblConsolidacionDetalle	91610	96387072	35012608	59719680	1654784	BTree	0
dbo	tblConsolidacionDetallePensionado	20814	8273920	8044544	114688	114688	BTree	0
dbo	tblControlProceso	38	221184	8192	40960	172032	BTree	0
dbo	tblDeudaCabecera	7	32768	8192	24576	0	BTree	0
dbo	tblDeudaDetalle	0	0	0	0	0	BTree	0
dbo	tblDeudaError	0	8192	8192	0	0	BTree	0
dbo	tblEmailOperacion	11	32768	24576	8192	0	BTree	0
dbo	tblEstado	69	32768	8192	24576	0	BTree	0
dbo	tblEventoAuditoria	95698	29171712	25214976	3661824	294912	BTree	0
dbo	tblFeriado	0	0	0	0	0	BTree	0
dbo	tblFuncionalidad	39	16384	8192	8192	0	BTree	0
dbo	tblHistAfiliadoDetalle	5223870	1386364928	979017728	407117824	229376	BTree	0
dbo	tblHistAfiliadoError	308	360448	172032	49152	139264	BTree	0
dbo	tblHistCarteraCompradaDetalle	0	0	0	0	0	BTree	0
dbo	tblHistCarteraCompradaError	0	8192	8192	0	0	BTree	0
dbo	tblHistDeudaDetalle	930804	173023232	170278912	2711552	32768	BTree	0
dbo	tblHistDeudaError	326	360448	180224	49152	131072	BTree	0
dbo	tblHistRecaudacionDetalle	0	0	0	0	0	BTree	0
dbo	tblHistRecaudacionError	0	163840	155648	0	8192	BTree	0
dbo	tblIndicadorResumen	0	0	0	0	0	BTree	0
dbo	tblInstitucion	6	16384	8192	8192	0	BTree	0
dbo	tblMenu	36	16384	8192	8192	0	BTree	0
dbo	tblPagina	29	16384	8192	8192	0	BTree	1
dbo	tblParametro	175	122880	49152	16384	57344	BTree	0
dbo	tblParametro202008	175	139264	40960	8192	90112	Heap	0
dbo	tblParametro202009	175	139264	40960	8192	90112	Heap	0
dbo	tblPassword	193	57344	24576	32768	0	BTree	0
dbo	tblPerfil	14	16384	8192	8192	0	BTree	0
dbo	tblPeriodo	21	16384	8192	8192	0	BTree	0
dbo	tblPeriodoMora	9	16384	8192	8192	0	BTree	0
dbo	tblRecaudacionCabecera	0	49152	8192	40960	0	BTree	0
dbo	tblRecaudacionDetalle	0	0	0	0	0	BTree	0
dbo	tblRecaudacionError	0	24576	24576	0	0	BTree	0
dbo	tblRegistroConsolidacion	18	32768	8192	24576	0	BTree	0
dbo	tblRel_FuncMenu	53	16384	8192	8192	0	BTree	0
dbo	tblRel_FuncPagina	29	16384	8192	8192	0	BTree	0
dbo	tblRel_PerfilFunc	176	16384	8192	8192	0	BTree	0
dbo	tblRel_UsuarioPerfil	128	16384	8192	8192	0	BTree	0
dbo	tblResumenConsolidacion	40	73728	8192	8192	57344	BTree	0
dbo	tblResumenConsolidacionPensionado	25	73728	8192	8192	57344	BTree	0
dbo	tblSessionUsuario	0	32768	8192	24576	0	BTree	0
dbo	tblSUSESO_RutInhabilitado	66	16384	8192	8192	0	BTree	0
dbo	tblSUSESO_TipoAfiliado	11	16384	8192	8192	0	BTree	0
dbo	tblSUSESO_TipoIdentificador	3	16384	8192	8192	0	BTree	0
dbo	tblTipoControlProceso	9	16384	8192	8192	0	BTree	0
dbo	tblTipoEstado	9	16384	8192	8192	0	BTree	0
dbo	tblTipoEventoAuditoria	6	16384	8192	8192	0	BTree	0
dbo	tblTipoParametro	4	16384	8192	8192	0	BTree	0
dbo	tblUnidad	4	16384	8192	8192	0	BTree	0
dbo	tblUsuario	61	32768	8192	24576	0	BTree	0
