Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
core	performance_counter_report_group_items	51	73728	16384	16384	40960	BTree	0
core	purge_info_internal	0	0	0	0	0	Heap	0
core	snapshot_timetable_internal	11	147456	8192	24576	114688	BTree	0
core	snapshots_internal	0	147456	8192	24576	114688	BTree	0
core	source_info_internal	2	147456	8192	24576	114688	BTree	0
core	supported_collector_types_internal	4	73728	8192	8192	57344	BTree	0
core	wait_categories	17	73728	8192	8192	57344	BTree	0
core	wait_types	266	73728	24576	16384	32768	BTree	0
snapshots	active_sessions_and_requests	0	221184	8192	40960	172032	BTree	0
snapshots	disk_usage	0	0	0	0	0	BTree	0
snapshots	distinct_queries	0	0	0	0	0	BTree	0
snapshots	distinct_query_to_handle	0	0	0	0	0	BTree	0
snapshots	io_virtual_file_stats	0	0	0	0	0	BTree	0
snapshots	log_usage	0	0	0	0	0	BTree	0
snapshots	notable_query_plan	0	352256	16384	49152	286720	BTree	1
snapshots	notable_query_text	0	147456	16384	16384	114688	BTree	1
snapshots	os_latch_stats	0	0	0	0	0	BTree	0
snapshots	os_memory_clerks	0	0	0	0	0	BTree	0
snapshots	os_memory_nodes	0	0	0	0	0	BTree	0
snapshots	os_process_memory	0	0	0	0	0	BTree	0
snapshots	os_schedulers	0	0	0	0	0	BTree	0
snapshots	os_wait_stats	0	0	0	0	0	BTree	0
snapshots	performance_counter_instances	0	0	0	0	0	BTree	0
snapshots	performance_counter_values	0	0	0	0	0	BTree	0
snapshots	query_stats	0	204800	8192	24576	172032	BTree	0
snapshots	sql_process_and_system_memory	0	0	0	0	0	BTree	0
snapshots	sysutility_ucp_batch_manifests_internal	0	0	0	0	0	BTree	0
snapshots	sysutility_ucp_cpu_memory_configurations_internal	0	0	0	0	0	BTree	0
snapshots	sysutility_ucp_dac_collected_execution_statistics_internal	0	0	0	0	0	BTree	0
snapshots	sysutility_ucp_smo_properties_internal	0	0	0	0	0	BTree	0
snapshots	sysutility_ucp_volumes_internal	0	0	0	0	0	BTree	0
snapshots	trace_data	0	0	0	0	0	BTree	4
snapshots	trace_info	0	0	0	0	0	BTree	0
sysutility_ucp_core	computers_internal	0	0	0	0	0	BTree	0
sysutility_ucp_core	cpu_utilization_internal	0	0	0	0	0	BTree	0
sysutility_ucp_core	dacs_internal	0	0	0	0	0	BTree	0
sysutility_ucp_core	databases_internal	0	0	0	0	0	BTree	1
sysutility_ucp_core	datafiles_internal	0	0	0	0	0	BTree	1
sysutility_ucp_core	filegroups_internal	0	0	0	0	0	BTree	1
sysutility_ucp_core	logfiles_internal	0	0	0	0	0	BTree	1
sysutility_ucp_core	smo_servers_internal	0	0	0	0	0	BTree	0
sysutility_ucp_core	space_utilization_internal	0	0	0	0	0	BTree	0
sysutility_ucp_core	volumes_internal	0	0	0	0	0	BTree	0
sysutility_ucp_staging	consistent_batch_manifests_internal	0	0	0	0	0	BTree	0
