StartDate	Size	Minutes	Server
05/10/2022 06:08:28	13487202304	2	S1P-INT-SQL
05/09/2022 06:08:23	13483008000	1	S1P-INT-SQL
05/08/2022 06:08:42	13483008000	2	S1P-INT-SQL
05/07/2022 06:08:34	13483008000	2	S1P-INT-SQL
05/06/2022 06:08:43	13470425088	2	S1P-INT-SQL
05/05/2022 06:08:28	13466230784	3	S1P-INT-SQL
05/04/2022 06:08:25	13462036480	3	S1P-INT-SQL
05/03/2022 06:08:39	13453647872	2	S1P-INT-SQL
05/02/2022 06:08:27	13451550720	1	S1P-INT-SQL
05/01/2022 13:20:45	13451550720	12	S1P-INT-SQL
04/30/2022 06:08:28	13451550720	32	S1P-INT-SQL
04/29/2022 06:08:39	13441064960	3	S1P-INT-SQL
04/28/2022 06:08:43	13438967808	4	S1P-INT-SQL
04/27/2022 06:08:41	13438967808	2	S1P-INT-SQL
04/26/2022 06:08:52	13436870656	4	S1P-INT-SQL
04/25/2022 06:08:44	13430579200	4	S1P-INT-SQL
04/24/2022 06:08:32	13430579200	4	S1P-INT-SQL
04/23/2022 06:08:34	13430579200	2	S1P-INT-SQL
04/22/2022 06:08:34	13430579200	3	S1P-INT-SQL
04/21/2022 06:18:53	13426384896	4	S1P-INT-SQL
04/20/2022 06:09:17	13426384896	2	S1P-INT-SQL
04/19/2022 06:08:34	13426384896	3	S1P-INT-SQL
04/18/2022 06:08:27	13422190592	3	S1P-INT-SQL
04/17/2022 06:08:30	13422190592	3	S1P-INT-SQL
04/16/2022 06:08:41	13422190592	4	S1P-INT-SQL
04/15/2022 06:08:38	13422190592	2	S1P-INT-SQL
04/14/2022 06:08:59	13422190592	3	S1P-INT-SQL
04/13/2022 06:09:32	13409607680	3	S1P-INT-SQL
04/12/2022 06:08:28	13405413376	2	S1P-INT-SQL
04/11/2022 06:08:34	13405413376	3	S1P-INT-SQL
04/10/2022 06:08:31	13405413376	3	S1P-INT-SQL
