Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	ADHOCAPPROVALS	0	0	0	0	0	BTree	0
dbo	ADMIN_IMPORT_USERS_LOGS	0	0	0	0	0	BTree	0
dbo	ALMACEN_ARCHIVOS	13477	9861398528	9859473408	40960	1884160	BTree	0
dbo	APROBACIONES	964	557056	139264	212992	204800	BTree	0
dbo	ARCHIVOS	11736	9691136	8192000	40960	1458176	BTree	0
dbo	AUD_RELATEDITEMS	0	0	0	0	0	BTree	0
dbo	AUDITEDS	0	0	0	0	0	BTree	0
dbo	AUDITORIAS	1	32768	24576	8192	0	BTree	0
dbo	AUDITORIASARCHIVOS	0	0	0	0	0	BTree	0
dbo	AUDITORIASTIPOS	6	16384	8192	8192	0	BTree	0
dbo	AUDITORS	0	0	0	0	0	BTree	0
dbo	AVA_ISSUE_TRACKING	2157	622592	401408	32768	188416	Heap	0
dbo	BS_IND_ASSESMENTS	2	32768	24576	8192	0	BTree	0
dbo	BS_IND_STATE_CACHE	304	163840	65536	32768	65536	BTree	0
dbo	BS_INDICATORS	352	688128	425984	24576	237568	BTree	0
dbo	BS_INDICATORS_DATA_ARCHIVED	0	0	0	0	0	BTree	0
dbo	BS_INDICATORS_DATA_ARCHIVED_RE	0	0	0	0	0	Heap	0
dbo	BS_INDICATORS_LAST_CALCULATE	184	16384	8192	8192	0	BTree	0
dbo	BS_INDICATORS_NOTIFICATIONS	5490	548864	344064	32768	172032	BTree	0
dbo	BS_INDICATORS_OPTIONS	1146	131072	73728	24576	32768	BTree	0
dbo	BS_INDICATORS_RECALC_LOGS	3064	231202816	228720640	32768	2449408	BTree	0
dbo	BS_INDICATORS_RECALC_LOGS_OLD	0	0	0	0	0	Heap	0
dbo	BS_INDICATORSCATEGORIES	20	16384	8192	8192	0	BTree	0
dbo	BS_INDICATORSDATA	27568	4227072	3162112	40960	1024000	BTree	0
dbo	BS_INDICATORSDATA_HISTORY	15122	2473984	1425408	557056	491520	Heap	0
dbo	BS_INDICATORSREL	58	16384	8192	8192	0	BTree	0
dbo	BS_LOCATIONS	1	16384	8192	8192	0	BTree	0
dbo	BS_STRAT_NODE_TYPES	6	16384	8192	8192	0	BTree	0
dbo	BS_STRAT_NODES	0	0	0	0	0	BTree	0
dbo	BS_STRAT_NODES_OPTIONS	0	0	0	0	0	BTree	0
dbo	BS_STRAT_NODES_RELATIONS	0	0	0	0	0	BTree	0
dbo	BS_STRAT_NODES_RELATIONS_TYPES	4	16384	8192	8192	0	BTree	0
dbo	BS_STRAT_NODES_RELS_STRENGTH	2	16384	8192	8192	0	BTree	0
dbo	BS_STRAT_PLANS	0	0	0	0	0	BTree	0
dbo	BS_STRAT_PLANS_OPTIONS	0	0	0	0	0	BTree	0
dbo	BS_STRATINITIATIVESTYPES	4	16384	8192	8192	0	BTree	0
dbo	BS_SVG	5	286720	262144	8192	16384	BTree	0
dbo	BS_SVG_OPTIONS	0	16384	8192	8192	0	BTree	0
dbo	CARGOS_CANTIDAD_PERSONAS	1	16384	8192	8192	0	BTree	0
dbo	CARGOSUSUARIOS	342	16384	8192	8192	0	BTree	0
dbo	CRITICAS	0	0	0	0	0	BTree	0
dbo	DATOSEMPRESA	1	16384	8192	8192	0	Heap	0
dbo	DATOSUSUARIOS	363	131072	49152	24576	57344	BTree	0
dbo	DBVERSION	1	16384	8192	8192	0	Heap	0
dbo	DISTRIBUCION	8874	753664	483328	40960	229376	BTree	0
dbo	DOCUMENTOS	9939	10084352	7143424	835584	2105344	BTree	0
dbo	DOCUMENTOS_CHANGELOG	0	0	0	0	0	BTree	0
dbo	DOCUMENTOS_EXTRADATA	7240	1146880	778240	40960	327680	BTree	0
dbo	DOCUMENTOS_FIX_ESPACIOS	5	73728	8192	8192	57344	Heap	0
dbo	DOCUMENTOSCATEGORIAS	7515	352256	204800	32768	114688	BTree	0
dbo	DOCUMENTOSHISTORIA	2752213	707592192	688013312	2351104	17227776	BTree	0
dbo	DOCUMENTOSREL	0	0	0	0	0	BTree	0
dbo	DOCUMENTOSRELTRANS	0	0	0	0	0	BTree	0
dbo	DUAL	1	16384	8192	8192	0	Heap	0
dbo	ESTADOS	3	16384	8192	8192	0	BTree	0
dbo	ESTADOSPROCESOS	8	16384	8192	8192	0	BTree	0
dbo	ESTADOSTAREASDOCUMENTOS	3	16384	8192	8192	0	BTree	0
dbo	FROZEN_PRESENTATIONS_ITEMS	0	0	0	0	0	BTree	0
dbo	HISTORIAASUNTOS	20060	27787264	25010176	57344	2719744	BTree	0
dbo	HISTORIADIAGRAMAS	0	0	0	0	0	BTree	0
dbo	HISTORIAESTRATEGIAS	0	0	0	0	0	BTree	0
dbo	HISTORIAINDICADORES	1176	5283840	4767744	32768	483328	BTree	0
dbo	HISTORIANODOSESTRATEGICOS	0	0	0	0	0	BTree	0
dbo	HISTORIANODOSPLANESPROCESO	0	0	0	0	0	BTree	0
dbo	HISTORIAPLANESPROCESO	1	147456	24576	8192	114688	BTree	0
dbo	IK_CLIENT_SETTINGS	194	352256	172032	24576	155648	BTree	0
dbo	IK_DFS	1	16384	8192	8192	0	BTree	0
dbo	IK_DS_SYNC_LOGS	0	0	0	0	0	Heap	0
dbo	IK_HTMLREPORTS_OPTIONS	0	0	0	0	0	BTree	0
dbo	IK_PEOPLE	402	409600	229376	24576	155648	BTree	0
dbo	IK_PEOPLE_HISTORY	898434	176357376	166027264	32768	10297344	Heap	0
dbo	IK_SURVEY_1	0	0	0	0	0	Heap	0
dbo	IK_SURVEY_2	0	0	0	0	0	Heap	0
dbo	IK_SURVEY_3	2	32768	24576	8192	0	Heap	0
dbo	IK_SURVEY_4	5	32768	24576	8192	0	Heap	0
dbo	IK_SURVEY_8	0	0	0	0	0	Heap	0
dbo	IK_SURVEY_9	2	16384	8192	8192	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_1	2	16384	8192	8192	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_2	0	0	0	0	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_3	7	16384	8192	8192	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_4	7	16384	8192	8192	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_8	0	0	0	0	0	Heap	0
dbo	IK_SURVEYEDPEOPLE_9	3	16384	8192	8192	0	Heap	0
dbo	IK_TEMPGUIDS	0	0	0	0	0	Heap	0
dbo	IKALERTS	27	65536	57344	8192	0	BTree	0
dbo	IKALERTS_HISTORY	9	155648	90112	8192	57344	Heap	0
dbo	IKALERTS_TARGETS	27	16384	8192	8192	0	BTree	0
dbo	IKALERTS_TMP	25	98304	57344	8192	32768	Heap	0
dbo	IKALERTS_USERS_OPTIONS	9	16384	8192	8192	0	BTree	0
dbo	IKERRORLOG	6151	23453696	22224896	32768	1196032	BTree	0
dbo	IKERRORLOG_OLD	0	0	0	0	0	Heap	0
dbo	IKEXECUTIONAUTHORIZATION	0	0	0	0	0	Heap	0
dbo	IKFILES	0	0	0	0	0	BTree	0
dbo	IKFILESVER	14990	1851392	1777664	16384	57344	Heap	0
dbo	IKFOROS	16703	2195456	1556480	40960	598016	BTree	0
dbo	IKFOROSARCHIVOS	3958	3932160	2785280	40960	1105920	BTree	0
dbo	IKFOROSMENSAJES	6394	12140544	10690560	188416	1261568	BTree	0
dbo	IKFOROSNOVEDADES	13191	5128192	2531328	1228800	1368064	BTree	0
dbo	IKFOROSNOVEDADES_OLD	0	0	0	0	0	Heap	0
dbo	IKFOROSSUSCRIPTORES	10523	6340608	3178496	974848	2187264	BTree	0
dbo	IKI_BSINDICATORS	0	0	0	0	0	BTree	0
dbo	IKI_BSSTRATNODES	0	0	0	0	0	BTree	0
dbo	IKI_BSSTRATPLANS	0	0	0	0	0	BTree	0
dbo	IKI_DOCUMENTS	0	16384	8192	8192	0	BTree	0
dbo	IKI_FILES	0	0	0	0	0	BTree	0
dbo	IKI_IKPEOPLE	0	0	0	0	0	BTree	0
dbo	IKI_ISSUES	0	0	0	0	0	BTree	0
dbo	IKI_ISSUESTASKS	0	0	0	0	0	BTree	0
dbo	IKI_MASTER	10619	622592	401408	40960	180224	BTree	0
dbo	IKI_NAXCHARTS	0	0	0	0	0	BTree	0
dbo	IKI_ORGCHART	0	73728	8192	8192	57344	BTree	0
dbo	IKI_PROCNODES	0	0	0	0	0	BTree	0
dbo	IKI_PROCPLANS	0	0	0	0	0	BTree	0
dbo	IKI_SVGDRAWINGS	0	0	0	0	0	BTree	0
dbo	IKMAILS	6768	130285568	106299392	204800	23781376	BTree	0
dbo	IKNOTIFICACIONES	581227	813367296	810541056	1032192	1794048	BTree	1
dbo	IKNOTIFICACIONES_OLD	0	0	0	0	0	Heap	0
dbo	IKNOTIFICACIONES_OPCIONES	22055	2785280	2056192	40960	688128	BTree	0
dbo	IKNOTIFICACIONES_PROFILES	244	49152	32768	16384	0	BTree	0
dbo	IKPOSITIONSGROUPS	980	180224	40960	24576	114688	BTree	0
dbo	IKPOSITIONSGROUPSTREE	15	16384	8192	8192	0	BTree	0
dbo	IKPROFILES	4	16384	8192	8192	0	BTree	0
dbo	IKREGCOMPONENTS	17	90112	24576	16384	49152	Heap	0
dbo	IKROLES	0	0	0	0	0	BTree	0
dbo	IKROLES_ASUNTOS	0	0	0	0	0	BTree	0
dbo	IKROLES_ASUNTOS4TPROT	0	0	0	0	0	BTree	0
dbo	IKROLES_NCINVOLUCRADOS	0	0	0	0	0	BTree	0
dbo	IKROLES_NCINVOLUCRADOS4TPROT	0	0	0	0	0	BTree	0
dbo	IKROLES_NCTAREAS	0	0	0	0	0	BTree	0
dbo	IKROLES_NCTASKSSTEPS	0	0	0	0	0	BTree	0
dbo	IKROLES_TPROT_TASK	0	0	0	0	0	BTree	0
dbo	IKROLES_TPROT_TASKSSTEPS	0	0	0	0	0	BTree	0
dbo	IKSAVEDSEARCHES	4	147456	65536	8192	73728	BTree	1
dbo	IKSKINS	3	16384	8192	8192	0	BTree	0
dbo	IKUSERLOGINS	238197	124223488	99155968	401408	24666112	BTree	0
dbo	IKUSERLOGINS_OLD	0	0	0	0	0	Heap	0
dbo	IKUSERLOGS	943157	852066304	253984768	515342336	82739200	BTree	0
dbo	IKUSERLOGS_OLD	0	0	0	0	0	Heap	0
dbo	INTERNACIONAL	2	16384	8192	8192	0	BTree	0
dbo	LUGARES	1	16384	8192	8192	0	BTree	0
dbo	MARCODOCUMENTOSREL	0	0	0	0	0	BTree	0
dbo	MATRIZ_APROBACIONES	0	0	0	0	0	BTree	0
dbo	MIEMBROSGRUPO	0	0	0	0	0	BTree	0
dbo	MODULE_COORDINATORS	176	24576	16384	8192	0	Heap	0
dbo	MODULE_INVOLVEDS	156	16384	8192	8192	0	Heap	0
dbo	MODULE_SENDMAIL	7	16384	8192	8192	0	Heap	0
dbo	NAX_RESOURCES	4514	819200	647168	16384	155648	Heap	0
dbo	NAX_RESOURCES_EN	4511	860160	811008	16384	32768	BTree	0
dbo	NAX_RESOURCES_ES	4514	1146880	933888	24576	188416	BTree	0
dbo	NAX_RESOURCES_PT	4195	1007616	843776	16384	147456	BTree	0
dbo	NAX_ULOGS	0	0	0	0	0	Heap	0
dbo	NAX_ULOGS_DESCRIPTION	0	0	0	0	0	Heap	0
dbo	NAXCHARTS	0	0	0	0	0	Heap	0
dbo	NC_FILES	4371	2654208	1900544	40960	712704	BTree	0
dbo	NC_FILESCATEGORIES	8	73728	8192	8192	57344	BTree	0
dbo	NC_TASKFILES	5	16384	8192	8192	0	BTree	0
dbo	NC_WF_ETAPAS_DISCONTINUED	14	32768	24576	8192	0	BTree	0
dbo	NCACCESSLEVELSTYPES	3	16384	8192	8192	0	BTree	0
dbo	NCCAUSASCLASES	1	16384	8192	8192	0	BTree	0
dbo	NCCC_SECURITY	8	73728	8192	8192	57344	BTree	0
dbo	NCCLASES	386	139264	73728	16384	49152	BTree	0
dbo	NCCOSTOS	0	0	0	0	0	BTree	0
dbo	NCCOSTOSCATEGORIAS	4	16384	8192	8192	0	BTree	0
dbo	NCCOSTOSCLASES	1	16384	8192	8192	0	BTree	0
dbo	NCDEFINICIONETAPAS	71	90112	24576	24576	40960	BTree	0
dbo	NCDETECTANTES	1	16384	8192	8192	0	BTree	0
dbo	NCESTADOS	4	16384	8192	8192	0	BTree	0
dbo	NCETAPAS	863	352256	155648	24576	172032	BTree	0
dbo	NCINTERRELACIONES	0	16384	8192	8192	0	BTree	0
dbo	NCINVOLUCRADOS	1246	344064	188416	24576	131072	BTree	0
dbo	NCMAINPROD	286	524288	262144	122880	139264	BTree	0
dbo	NCMODULESECURITYLEVELS	74	16384	8192	8192	0	BTree	0
dbo	NCSECURITYLEVELSDESCRIPTION	19	16384	8192	8192	0	BTree	0
dbo	NCTAREAS	12	180224	32768	147456	0	BTree	0
dbo	NCTAREAS_DEPENDENCIES	0	16384	8192	8192	0	BTree	0
dbo	NCTAREASDESTINATARIOS	16	40960	8192	32768	0	BTree	0
dbo	NCTASKS_NOT_WORKING_DAYS	0	0	0	0	0	BTree	0
