StartDate	Size	Minutes	Server
05/10/2022 05:55:37	719720448	0	S1P-INT-SQL
05/09/2022 05:55:40	719784960	0	S1P-INT-SQL
05/08/2022 05:55:40	719720448	0	S1P-INT-SQL
05/07/2022 05:55:26	719720448	0	S1P-INT-SQL
05/06/2022 05:56:27	719720448	0	S1P-INT-SQL
05/05/2022 05:55:43	719720448	0	S1P-INT-SQL
05/04/2022 05:55:32	719720448	0	S1P-INT-SQL
05/03/2022 05:55:40	719720448	0	S1P-INT-SQL
05/02/2022 05:55:30	719720448	0	S1P-INT-SQL
05/01/2022 13:20:45	719654912	1	S1P-INT-SQL
04/30/2022 05:55:27	719720448	0	S1P-INT-SQL
04/29/2022 05:55:34	719720448	0	S1P-INT-SQL
04/28/2022 05:55:30	719720448	0	S1P-INT-SQL
04/27/2022 05:55:58	719720448	1	S1P-INT-SQL
04/26/2022 05:55:43	719784960	0	S1P-INT-SQL
04/25/2022 05:55:24	719720448	0	S1P-INT-SQL
04/24/2022 05:55:38	719720448	0	S1P-INT-SQL
04/23/2022 05:55:48	719720448	1	S1P-INT-SQL
04/22/2022 05:55:33	719720448	0	S1P-INT-SQL
04/21/2022 05:55:41	719720448	0	S1P-INT-SQL
04/20/2022 05:55:44	719720448	1	S1P-INT-SQL
04/19/2022 05:55:28	719720448	0	S1P-INT-SQL
04/18/2022 05:55:33	719720448	0	S1P-INT-SQL
04/17/2022 05:55:40	719720448	0	S1P-INT-SQL
04/16/2022 05:55:36	719720448	0	S1P-INT-SQL
04/15/2022 05:55:26	719720448	0	S1P-INT-SQL
04/14/2022 05:55:25	717623296	0	S1P-INT-SQL
04/13/2022 05:55:39	717687808	0	S1P-INT-SQL
04/12/2022 05:55:41	717623296	0	S1P-INT-SQL
04/11/2022 05:55:42	717623296	0	S1P-INT-SQL
04/10/2022 05:55:42	717623296	0	S1P-INT-SQL
