Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	bases_info	1	73728	8192	8192	57344	Heap	0
dbo	bases_plan	19844	1646592	1581056	8192	57344	Heap	0
dbo	errorlog	0	0	0	0	0	Heap	0
dbo	evento	46	73728	8192	8192	57344	Heap	0
dbo	EventTable	309	73728	16384	8192	49152	Heap	0
dbo	Num_trc	1	73728	8192	8192	57344	Heap	0
dbo	OLE DB Destination	0	0	0	0	0	Heap	0
dbo	spacedb	0	0	0	0	0	Heap	0
dbo	spacedb_hist	250073	8265728	6766592	8192	1490944	Heap	0
dbo	SpaceLog	0	0	0	0	0	Heap	0
dbo	SpaceLog_hist	0	0	0	0	0	Heap	0
dbo	spacetotal_bd	9565	270336	237568	8192	24576	Heap	0
dbo	spacetotal_log	9808	270336	245760	8192	16384	Heap	0
dbo	spacetotalBD_Mes	7831	204800	196608	8192	0	Heap	0
dbo	tabla_pasovero	0	0	0	0	0	Heap	0
dbo	tb_drives	22	73728	8192	8192	57344	Heap	0
dbo	tb_trc	0	0	0	0	0	Heap	0
dbo	tbl_baseback	138	73728	8192	8192	57344	Heap	0
dbo	tbl_control	31904	1056768	868352	8192	180224	Heap	0
dbo	tbl_Espacio_Reporte	0	0	0	0	0	Heap	0
dbo	tbl_monitorauditoria	61180	2039808	1761280	8192	270336	Heap	0
dbo	tbl_monitorauditoria_dia	10	73728	8192	8192	57344	Heap	0
dbo	tbl_paso_1312	2	73728	8192	8192	57344	Heap	0
dbo	tbl_pasousu	28	73728	8192	8192	57344	Heap	0
dbo	tbl_sizebd	672	73728	24576	8192	40960	Heap	0
dbo	tbl_sizebd_files	1620	139264	98304	8192	32768	Heap	0
dbo	tbl_sizediscos	0	0	0	0	0	Heap	0
dbo	tbl_splunk_logins	0	0	0	0	0	Heap	0
dbo	tblContador	1	73728	8192	8192	57344	Heap	0
dbo	tblCPUMonitor	1479328	46145536	45989888	8192	147456	Heap	0
dbo	tblErrorLog	74	73728	8192	8192	57344	Heap	0
dbo	tblHijo	6	73728	8192	8192	57344	Heap	0
dbo	tblLoginFailed	15945	1589248	1146880	286720	155648	Heap	0
dbo	tblLoginFailedUltFTP	3	73728	8192	8192	57344	Heap	0
dbo	tblLoginFailedUltRegistro	3	73728	8192	8192	57344	Heap	0
dbo	tblMemMonitor	11863427	388767744	344072192	8192	44687360	Heap	0
dbo	tblMonitorUptime	2595	139264	73728	8192	57344	Heap	0
dbo	tblPadre	3	73728	8192	8192	57344	Heap	0
dbo	tblPrueba	4	73728	8192	8192	57344	Heap	0
dbo	tblRD_Memoria	37691	1253376	1024000	8192	221184	Heap	0
dbo	tblRD_Sesiones	189480	5120000	4988928	8192	122880	Heap	0
dbo	tblRD_TamannoBD	477442	18751488	16998400	8192	1744896	Heap	0
dbo	tblRequest	2554855	83763200	64520192	8192	19234816	Heap	0
dbo	tblSesiones	2555006	83763200	64888832	8192	18866176	Heap	0
dbo	tbltemp_usr	26	73728	8192	8192	57344	Heap	0
dbo	temp_trc	0	0	0	0	0	Heap	0
dbo	tErrorLogs	344677	69156864	63414272	5095424	647168	Heap	0
dbo	tmp_drives	22	73728	8192	8192	57344	Heap	0
