Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	__MigrationHistory	11	139264	81920	16384	40960	BTree	1
dbo	AspNetRoles	2	147456	8192	24576	114688	BTree	0
dbo	AspNetUserClaims	0	0	0	0	0	BTree	2
dbo	AspNetUserLogins	0	0	0	0	0	BTree	0
dbo	AspNetUserRoles	25	221184	8192	40960	172032	BTree	0
dbo	AspNetUsers	25	147456	16384	32768	98304	BTree	3
dbo	Atributoes	3	73728	8192	8192	57344	BTree	1
dbo	Categorias	7	73728	8192	8192	57344	BTree	2
dbo	PiezaAtributoes	7031	39550976	37871616	942080	737280	BTree	1
dbo	PiezaCategorias	4305	1466368	475136	540672	450560	BTree	0
dbo	Piezas	4305	1056768	589824	16384	450560	BTree	1
dbo	PiezasTemp	1340	270336	155648	16384	98304	BTree	1
dbo	PiezasTemp2	0	73728	8192	8192	57344	BTree	1
dbo	Relacions	4267	1400832	442368	606208	352256	BTree	0
