Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	area_geog	751	49152	32768	16384	0	BTree	0
dbo	bel_asig_foli	0	0	0	0	0	BTree	0
dbo	bel_cons_cara	0	0	0	0	0	BTree	0
dbo	bel_cons_rang	0	0	0	0	0	BTree	0
dbo	bel_cons_resu	0	0	0	0	0	BTree	0
dbo	bel_dato_refe	0	0	0	0	0	BTree	0
dbo	bel_desc_reca	0	0	0	0	0	BTree	0
dbo	bel_deta_codi	0	0	0	0	0	BTree	0
dbo	bel_deta_prse	0	0	0	0	0	BTree	0
dbo	bel_deta_subt	0	0	0	0	0	BTree	0
dbo	bel_enca_docu	0	0	0	0	0	BTree	0
dbo	bel_envi_docu	0	16384	8192	8192	0	BTree	0
dbo	bel_envi_pdf	0	0	0	0	0	BTree	0
dbo	bel_foli_anul	0	0	0	0	0	BTree	0
dbo	bel_info_tick	0	0	0	0	0	BTree	0
dbo	bel_subt_info	0	0	0	0	0	BTree	0
dbo	bel_tido_envi	0	0	0	0	0	BTree	0
dbo	bel_unid_cont	0	0	0	0	0	BTree	0
dbo	bel_usua_pos	0	0	0	0	0	Heap	0
dbo	bel_xml	0	0	0	0	0	BTree	0
dbo	camb_mone	0	0	0	0	0	BTree	0
dbo	cara_gene	22	24576	8192	16384	0	BTree	0
dbo	CARA_PEEM	0	0	0	0	0	BTree	0
dbo	cara_pers	0	589824	8192	122880	458752	BTree	0
dbo	cent_cost	1	73728	8192	65536	0	BTree	0
dbo	DBN_CTRL_ARCH	0	0	0	0	0	BTree	0
dbo	DBN_LIMP_ARCH	0	352256	114688	40960	196608	Heap	0
dbo	DBN_LIMP_GRPO	0	286720	98304	40960	147456	Heap	0
dbo	DBN_LIMP_LOGG	19	212992	65536	24576	122880	Heap	0
dbo	dbn_list_boto	10	16384	8192	8192	0	BTree	0
dbo	dbn_list_colu	69	40960	16384	24576	0	Heap	0
dbo	dbn_list_repo	8	32768	24576	8192	0	BTree	0
dbo	DBN_LOG_50	428	221184	98304	49152	73728	Heap	0
dbo	dbn_mens_erro	0	0	0	0	0	BTree	0
dbo	DBN_MONI_PROC	970	671744	278528	163840	229376	BTree	0
dbo	DBN_MONI_STAT	27768	4472832	4317184	57344	98304	BTree	0
dbo	DBN_PARA_OPER	0	0	0	0	0	Heap	0
dbo	DBN_PARA_SERV	2	73728	8192	8192	57344	Heap	0
dbo	DBN_PROC_SERV	0	16384	8192	8192	0	Heap	0
dbo	DBN_PROCESOS	5	16384	8192	8192	0	BTree	0
dbo	dbn_repo_rous	2	16384	8192	8192	0	BTree	0
dbo	DBN_SERV_SRVD	25	16384	8192	8192	0	BTree	0
dbo	DBN_SERVICIO	26	16384	8192	8192	0	BTree	0
dbo	DBN_SERVIDOR	3	16384	8192	8192	0	BTree	0
dbo	DBN_SESR_RANG_OPER	25	16384	8192	8192	0	BTree	0
dbo	dbn_traza_codi_serv	0	0	0	0	0	BTree	0
dbo	DBN_TRAZA_DOCU	135434	33390592	21356544	11673600	360448	Heap	0
dbo	dbnet_server	62	24576	16384	8192	0	Heap	0
dbo	DBQ_ARCH	33954	50544640	14172160	33562624	2809856	BTree	0
dbo	DBQ_ARCH_CLOB	33948	746029056	727023616	24576	18980864	BTree	0
dbo	dbq_cana	6	106496	8192	40960	57344	Heap	0
dbo	dbq_erro	154	212992	106496	40960	65536	Heap	0
dbo	DBQ_GRPO	29565	50577408	45432832	4431872	712704	BTree	0
dbo	DBQ_GRPO_ERRO	0	0	0	0	0	Heap	0
dbo	dbsr	1	24576	8192	16384	0	BTree	0
dbo	DTE_ACCI_DOCU	0	0	0	0	0	BTree	0
dbo	dte_acec_empr	8	49152	8192	40960	0	BTree	0
dbo	dte_acti_econ	1258	335872	155648	16384	163840	BTree	0
dbo	dte_anoto	0	0	0	0	0	BTree	0
dbo	DTE_ARCH_ADJU	0	0	0	0	0	BTree	0
dbo	dte_audi_foli	0	0	0	0	0	Heap	0
dbo	dte_audi_tran	0	0	0	0	0	Heap	0
dbo	dte_auto_pers	4	24576	8192	16384	0	BTree	0
dbo	dte_cert_pers	2	98304	24576	16384	57344	BTree	0
dbo	dte_cesi_auto	0	16384	8192	8192	0	BTree	0
dbo	dte_cesi_docu	0	32768	8192	24576	0	BTree	0
dbo	DTE_COMI_CARG	0	0	0	0	0	BTree	0
dbo	dte_conf_orig	0	0	0	0	0	BTree	0
dbo	dte_del_cesion	0	0	0	0	0	BTree	0
dbo	dte_desc_item	0	0	0	0	0	BTree	0
dbo	dte_desc_item_h	0	0	0	0	0	BTree	0
dbo	dte_desc_item_p	0	0	0	0	0	BTree	0
dbo	dte_desc_reca	0	0	0	0	0	BTree	0
dbo	dte_desc_reca_h	0	0	0	0	0	BTree	0
dbo	dte_desc_reca_p	0	0	0	0	0	BTree	0
dbo	dte_deta_acec	46514	8036352	4513792	3088384	434176	BTree	0
dbo	dte_deta_acec_h	0	0	0	0	0	BTree	0
dbo	dte_deta_acec_p	0	24576	8192	16384	0	BTree	0
dbo	dte_deta_codi	353548	68009984	45072384	22405120	532480	BTree	0
dbo	dte_deta_codi_h	0	0	0	0	0	BTree	0
dbo	dte_deta_codi_p	0	24576	8192	16384	0	BTree	0
dbo	dte_deta_prse	118458	46161920	45621248	360448	180224	BTree	0
dbo	dte_deta_prse_h	0	0	0	0	0	BTree	0
dbo	dte_deta_prse_p	0	24576	8192	16384	0	BTree	0
dbo	DTE_DOCU_LOB	72522	622174208	621748224	98304	327680	BTree	0
dbo	DTE_DOCU_LOB_H	0	0	0	0	0	BTree	0
dbo	dte_docu_refe	21389	4153344	3825664	49152	278528	BTree	0
dbo	dte_docu_refe_h	0	0	0	0	0	BTree	0
dbo	dte_docu_refe_p	0	24576	8192	16384	0	BTree	0
dbo	dte_enca_docu	83920	196083712	144285696	49119232	2678784	BTree	0
dbo	dte_enca_docu_h	0	0	0	0	0	BTree	0
dbo	dte_enca_docu_p	0	24576	8192	16384	0	BTree	0
