StartDate	Size	Minutes	Server
05/10/2022 05:00:36	30050456576	14	S1P-INT-SQL
05/09/2022 05:00:33	30044165120	9	S1P-INT-SQL
05/08/2022 05:00:38	30044165120	10	S1P-INT-SQL
05/07/2022 05:00:36	30044165120	9	S1P-INT-SQL
05/06/2022 05:00:34	30044165120	11	S1P-INT-SQL
05/05/2022 05:00:37	30044165120	9	S1P-INT-SQL
05/04/2022 05:00:44	30044165120	11	S1P-INT-SQL
05/03/2022 05:00:45	30044165120	11	S1P-INT-SQL
05/02/2022 05:00:34	30044165120	11	S1P-INT-SQL
05/01/2022 05:00:44	30044165120	13	S1P-INT-SQL
04/30/2022 05:00:54	30044165120	44	S1P-INT-SQL
04/29/2022 05:01:04	30035776512	13	S1P-INT-SQL
04/28/2022 05:00:38	30035776512	18	S1P-INT-SQL
04/27/2022 05:00:39	30035776512	10	S1P-INT-SQL
04/26/2022 05:00:29	30033679360	22	S1P-INT-SQL
04/25/2022 05:00:36	30031582208	11	S1P-INT-SQL
04/24/2022 05:00:29	30031582208	12	S1P-INT-SQL
04/23/2022 05:00:29	30031582208	9	S1P-INT-SQL
04/22/2022 05:00:47	30021096448	10	S1P-INT-SQL
04/21/2022 05:00:39	29928821760	10	S1P-INT-SQL
04/20/2022 05:01:06	29905753088	6	S1P-INT-SQL
04/19/2022 05:00:35	29903655936	8	S1P-INT-SQL
04/18/2022 05:01:26	29903655936	8	S1P-INT-SQL
04/17/2022 05:00:44	29903655936	7	S1P-INT-SQL
04/16/2022 05:00:40	29903655936	9	S1P-INT-SQL
04/15/2022 05:00:27	29903655936	9	S1P-INT-SQL
04/14/2022 05:00:54	29903655936	9	S1P-INT-SQL
04/13/2022 05:00:39	29901558784	9	S1P-INT-SQL
04/12/2022 05:00:35	29899461632	9	S1P-INT-SQL
04/11/2022 05:00:31	29899461632	10	S1P-INT-SQL
04/10/2022 05:00:49	29899461632	10	S1P-INT-SQL
