Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	OPB_ANALYZE_DEP	0	0	0	0	0	Heap	0
dbo	OPB_ANALYZE_DEP_	0	0	0	0	0	Heap	0
dbo	OPB_ATTR	287	221184	98304	24576	98304	Heap	0
dbo	OPB_ATTR_CATEGORY	2	221184	24576	24576	172032	Heap	0
dbo	OPB_BCF_BUSCOMPS	0	0	0	0	0	Heap	0
dbo	OPB_BCF_BUSCOMPS_	0	0	0	0	0	Heap	0
dbo	OPB_BCF_TREE	0	0	0	0	0	Heap	0
dbo	OPB_BCF_TREE_	0	0	0	0	0	Heap	0
dbo	OPB_CFG_ATTR	7223	1925120	1089536	335872	499712	Heap	0
dbo	OPB_CFG_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_CLIENT_CONN	25	212992	90112	24576	98304	Heap	0
dbo	OPB_CM_DEPDETAIL	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY_LOG	0	0	0	0	0	Heap	0
dbo	OPB_CM_DEPLOY_REF	0	0	0	0	0	Heap	0
dbo	OPB_CM_LABEL	0	0	0	0	0	Heap	0
dbo	OPB_CM_LABEL_REF	0	0	0	0	0	Heap	0
dbo	OPB_CM_QUERY	0	0	0	0	0	Heap	0
dbo	OPB_CM_QUERY_PARAM	0	0	0	0	0	Heap	0
dbo	OPB_CNX	12	294912	40960	40960	212992	Heap	0
dbo	OPB_CNX_	0	0	0	0	0	Heap	0
dbo	OPB_CNX_ATTR	62	147456	40960	8192	98304	Heap	0
dbo	OPB_CNX_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_COMPONENT	27520	10207232	1499136	8151040	557056	Heap	0
dbo	OPB_COMPONENT_	0	0	0	0	0	Heap	0
dbo	OPB_DBD	2141	614400	237568	180224	196608	Heap	0
dbo	OPB_DBD_	0	0	0	0	0	Heap	0
dbo	OPB_DBDS	3680	540672	172032	180224	188416	Heap	0
dbo	OPB_DBDS_	0	0	0	0	0	Heap	0
dbo	OPB_DTL_SWIDG_LOG	837900	367550464	280829952	50216960	36503552	Heap	0
dbo	OPB_DTL_SWIDG_LOG_	0	0	0	0	0	Heap	0
dbo	OPB_EVENT	19	221184	40960	40960	139264	Heap	0
dbo	OPB_EVENT_	0	0	0	0	0	Heap	0
dbo	OPB_EXPRESSION	67517	17661952	10903552	6258688	499712	Heap	0
dbo	OPB_EXPRESSION_	0	0	0	0	0	Heap	0
dbo	OPB_EXTN_ATTR	137174	34242560	20340736	12992512	909312	Heap	0
dbo	OPB_EXTN_ATTR_	0	0	0	0	0	Heap	0
dbo	OPB_FILE_DESC	10344	2777088	1204224	1089536	483328	Heap	0
dbo	OPB_FILE_DESC_	0	0	0	0	0	Heap	0
dbo	OPB_GEN_OBJ_REFS	0	0	0	0	0	Heap	0
dbo	OPB_GEN_OBJECT	0	0	0	0	0	Heap	0
dbo	OPB_GROUPS	0	0	0	0	0	Heap	0
dbo	OPB_HASH_KEY	0	0	0	0	0	Heap	0
dbo	OPB_HASH_KEY_	0	0	0	0	0	Heap	0
dbo	OPB_KEY_RANGE	0	0	0	0	0	Heap	0
dbo	OPB_KEY_RANGE_	0	0	0	0	0	Heap	0
dbo	OPB_KEYWORD	0	0	0	0	0	Heap	0
dbo	OPB_KEYWORD_	0	0	0	0	0	Heap	0
dbo	OPB_LINK_MCR_DEP	0	0	0	0	0	Heap	0
dbo	OPB_LINK_MCR_DEP_	0	0	0	0	0	Heap	0
dbo	OPB_MACRO	3	294912	24576	40960	229376	Heap	0
dbo	OPB_MACRO_	0	0	0	0	0	Heap	0
dbo	OPB_MACRO_ARGS	3	147456	8192	24576	114688	Heap	0
dbo	OPB_MACRO_ARGS_	0	0	0	0	0	Heap	0
dbo	OPB_MACRO_EXPR	6	221184	32768	24576	163840	Heap	0
dbo	OPB_MACRO_EXPR_	0	0	0	0	0	Heap	0
dbo	OPB_MACRO_REF	0	0	0	0	0	Heap	0
dbo	OPB_MACRO_REF_	0	0	0	0	0	Heap	0
dbo	OPB_MAP_OPTIONS	0	0	0	0	0	Heap	0
dbo	OPB_MAP_OPTIONS_	0	0	0	0	0	Heap	0
dbo	OPB_MAP_PARMVAR	4619	1204224	638976	278528	286720	Heap	0
dbo	OPB_MAP_PARMVAR_	0	0	0	0	0	Heap	0
dbo	OPB_MAP_PERSISVAL	3435	1007616	737280	122880	147456	Heap	0
dbo	OPB_MAP_PERSISVAL_	0	0	0	0	0	Heap	0
dbo	OPB_MAP_TARG_INFO	25191	2244608	925696	1130496	188416	Heap	0
dbo	OPB_MAP_TARG_INFO_	0	0	0	0	0	Heap	0
dbo	OPB_MAPPING	2076	1015808	442368	245760	327680	Heap	0
dbo	OPB_MAPPING_	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_FIELD	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_FIELD_	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_HRCHY	0	0	0	0	0	Heap	0
dbo	OPB_MD_CUBE_HRCHY_	0	0	0	0	0	Heap	0
dbo	OPB_MD_DIMENSION	0	0	0	0	0	Heap	0
dbo	OPB_MD_DIMENSION_	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_FIELD	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_FIELD_	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_LEVEL	0	0	0	0	0	Heap	0
dbo	OPB_MD_FACT_LEVEL_	0	0	0	0	0	Heap	0
dbo	OPB_MD_HIER_GRAPH	0	0	0	0	0	Heap	0
dbo	OPB_MD_HIER_GRAPH_	0	0	0	0	0	Heap	0
dbo	OPB_MD_HIERARCHY	0	0	0	0	0	Heap	0
dbo	OPB_MD_HIERARCHY_	0	0	0	0	0	Heap	0
dbo	OPB_MD_LEVEL	0	0	0	0	0	Heap	0
dbo	OPB_MD_LEVEL_	0	0	0	0	0	Heap	0
dbo	OPB_MD_LEVEL_FIELD	0	0	0	0	0	Heap	0
dbo	OPB_MD_LEVEL_FIELD_	0	0	0	0	0	Heap	0
dbo	OPB_MD_LVL_HRCHY	0	0	0	0	0	Heap	0
dbo	OPB_MD_LVL_HRCHY_	0	0	0	0	0	Heap	0
dbo	OPB_METAEXT_VAL	2822	2654208	1875968	311296	466944	Heap	0
dbo	OPB_METAEXT_VAL_	0	0	0	0	0	Heap	0
dbo	OPB_MMD_CATALOG	47	221184	24576	24576	172032	Heap	0
dbo	OPB_MMD_CATTR_VAL	229	147456	16384	24576	106496	Heap	0
dbo	OPB_MMD_CATTR2EXTN	8	73728	8192	8192	57344	Heap	0
dbo	OPB_MMD_CFG_ATTR	42	147456	32768	8192	106496	Heap	0
dbo	OPB_MMD_CFGAT_VAL	24	73728	8192	8192	57344	Heap	0
dbo	OPB_MMD_CNX	78	147456	8192	24576	114688	Heap	0
dbo	OPB_MMD_CNX_ATTR	903	417792	311296	65536	40960	Heap	0
dbo	OPB_MMD_DATATYPE	2358	344064	147456	106496	90112	Heap	0
