Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	bases_info	1	73728	8192	8192	57344	Heap	0
dbo	bases_plan	17144	1384448	1318912	8192	57344	Heap	0
dbo	evento	46	73728	8192	8192	57344	Heap	0
dbo	EventTable	309	73728	16384	8192	49152	Heap	0
dbo	Ft3trace	0	0	0	0	0	BTree	0
dbo	LogFailed	4	73728	8192	8192	57344	Heap	0
dbo	LogFailedLast	1	73728	8192	8192	57344	Heap	0
dbo	LoginFailed20080722	2	73728	8192	8192	57344	BTree	0
dbo	Num_trc	1	73728	8192	8192	57344	Heap	0
dbo	spacedb	0	0	0	0	0	Heap	0
dbo	spacedb_hist	198703	6037504	5316608	8192	712704	Heap	0
dbo	SpaceLog	0	0	0	0	0	Heap	0
dbo	SpaceLog_hist	0	0	0	0	0	Heap	0
dbo	spacetotal_bd	4389	139264	106496	8192	24576	Heap	0
dbo	spacetotal_log	4934	139264	122880	8192	8192	Heap	0
dbo	spacetotalBD_Mes	3540	139264	90112	8192	40960	Heap	0
dbo	tb_drives	22	73728	8192	8192	57344	Heap	0
dbo	tbl_monitorauditoria	57930	1908736	1638400	8192	262144	Heap	0
dbo	tbl_monitorauditoria_dia	10	73728	8192	8192	57344	Heap	0
dbo	tbl_pasousu	28	73728	8192	8192	57344	Heap	0
dbo	tbl_sizebd	456	73728	24576	8192	40960	Heap	0
dbo	tbl_sizebd_files	1620	139264	98304	8192	32768	Heap	0
dbo	tbl_splunk_logins	0	0	0	0	0	Heap	0
dbo	tblCPUMonitor	2130543	76161024	58376192	8192	17776640	Heap	0
dbo	tblLoginFailed	0	0	0	0	0	Heap	0
dbo	tblLoginFailed20080722	78	212992	65536	8192	139264	BTree	0
dbo	tblLoginFailedByProfiler	2	73728	8192	8192	57344	BTree	0
dbo	tblLoginFailedUltFTP	2	73728	8192	8192	57344	Heap	0
dbo	tblLoginFailedUltRegistro	2	73728	8192	8192	57344	Heap	0
dbo	tblMemMonitor	23839725	781197312	678240256	8192	102948864	Heap	0
dbo	tblMonitorUptime	2440	73728	65536	8192	0	Heap	0
dbo	tblRD_Memoria	33031	1122304	909312	8192	204800	Heap	0
dbo	tblRD_Sesiones	195807	6430720	5292032	8192	1130496	Heap	0
dbo	tblRD_TamannoBD	561185	24190976	22331392	8192	1851392	Heap	0
dbo	tblRequest	3963384	129966080	100474880	8192	29483008	Heap	0
dbo	tblSesiones	3963384	129966080	100655104	8192	29302784	Heap	0
dbo	tbltemp_usr	26	73728	8192	8192	57344	Heap	0
dbo	temp_trc	0	0	0	0	0	Heap	0
dbo	tErrorLogs	344677	69156864	63291392	5095424	770048	Heap	0
dbo	tmp_drives	22	73728	8192	8192	57344	Heap	0
