Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	tbl_casi	224	286720	40960	49152	196608	BTree	0
dbo	tbl_cdex	4	147456	8192	24576	114688	BTree	0
dbo	tbl_cerr	298	139264	24576	16384	98304	BTree	0
dbo	tbl_corr	2	73728	8192	8192	57344	BTree	0
dbo	tbl_desc	175	147456	32768	24576	90112	Heap	0
dbo	tbl_dest	20	73728	8192	8192	57344	BTree	0
dbo	tbl_estadomigracion	1	73728	8192	8192	57344	Heap	0
dbo	tbl_estr	111	540672	81920	32768	425984	BTree	0
dbo	tbl_estt	30	73728	8192	8192	57344	BTree	0
dbo	tbl_feri	202	73728	16384	8192	49152	Heap	0
dbo	tbl_hpro	24	147456	8192	24576	114688	BTree	0
dbo	tbl_hres	64482	4333568	3858432	32768	442368	BTree	0
dbo	tbl_htra	3349153	184369152	131850240	52436992	81920	BTree	0
dbo	tbl_inst	138	73728	8192	8192	57344	BTree	0
dbo	tbl_limp	929290	110903296	55246848	55558144	98304	BTree	0
dbo	tbl_opca	361552	7020544	6922240	40960	57344	BTree	0
dbo	tbl_oppr	0	0	0	0	0	BTree	0
dbo	tbl_param	1	73728	8192	8192	57344	Heap	0
dbo	tbl_prod	6	73728	8192	8192	57344	BTree	0
dbo	tbl_resc	34758	4669440	2416640	1515520	737280	BTree	0
dbo	tbl_serv	2	73728	8192	8192	57344	BTree	0
dbo	tbl_tarc	986800	89145344	67559424	21520384	65536	BTree	0
dbo	tbl_tmp	82	73728	8192	8192	57344	Heap	0
dbo	tbl_tpro	6	147456	8192	24576	114688	BTree	0
dbo	tbl_user	2	73728	8192	8192	57344	BTree	0
dbo	tblConfigLogTrazabilidad	0	0	0	0	0	Heap	0
dbo	tblCorrelativo	5065	802816	253952	278528	270336	Heap	0
dbo	tblCorrelativoR04R05	1	73728	8192	8192	57344	Heap	0
dbo	tblEnvioAutomR04R05	22	73728	8192	8192	57344	Heap	0
dbo	tblMsAlerta	4	73728	8192	8192	57344	Heap	0
dbo	tblParametro	21	147456	8192	24576	114688	Heap	0
dbo	tblPassword	559	409600	98304	65536	245760	Heap	0
dbo	tblPerfil	6	147456	8192	24576	114688	Heap	0
dbo	tblPrivilegio	38	73728	8192	8192	57344	Heap	0
dbo	tblRegistroLogTrazabilidad	1953939	76161024	75767808	8192	385024	Heap	0
dbo	tblRelPrivilegioPerfil	57	147456	8192	24576	114688	Heap	0
dbo	tblRelTipoArchivoUsuario	1583	344064	122880	98304	122880	Heap	0
dbo	tblTicket	0	0	0	0	0	Heap	0
dbo	tblTipoArchivo	35	147456	8192	24576	114688	Heap	0
dbo	tblTransDescarga	0	0	0	0	0	Heap	0
dbo	tblTransEnvio	15032	3497984	1630208	1277952	589824	Heap	0
dbo	tblTransRespuesta	5	221184	8192	40960	172032	Heap	0
dbo	tblUsuario	263	352256	114688	73728	163840	Heap	0
dbo	TEMP_ALERTA_BACKUP_LOG	3	73728	8192	8192	57344	Heap	0
