DB	User	Host	Application	Application Group	Calls	Connections	Cpu	Duration	ReadKb	WriteKb	Notes
ft3	ope_ft3web	arsen.sinacofi.corp	Microsoft JDBC Driver for SQL Server	Microsoft JDBC Driver for SQL Server	0	11	0	4403188155	0	0	
ft3	ope_ft3web	ares.sinacofi.corp	Microsoft JDBC Driver for SQL Server	Microsoft JDBC Driver for SQL Server	0	13	0	577847447	0	0	
Swsnew	webuser	WEB_DESARROLLO	Internet Information Services	ASP Page	155060	155072	20674927	2573825630	9544325256	251424	
ft3	ope_brokerft3	S1P-NEG-SQL			0	2	0	927088967	0	0	
ValidacionTributaria	ope_credexweb	QUINTERO	.Net SqlClient Data Provider	.Net APP	29091	29092	48419	116254947	2103906056	52672120	
AdmDBA	skylab\rperez	VDI-95	Microsoft SQL Server Management Studio - Query	MS SQL Server Management Studio	7	9	3687	276591483	5496	40	UI Queries, SQL Server
master	nt service\sqltelemetry	S1P-NEG-SQL	SQLServerCEIP	SQL Server	5609	5610	300242	435837340	710083800	91688	
ValidacionTributaria	ope_credexweb	CASABLANCA	.Net SqlClient Data Provider	.Net APP	29508	29508	52704	129133594	2436658000	53760576	
AdmDBA	skylab\rperez	VDI-95	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	109	121	233	19493868	20496	32	UI Queries, SQL Server
tempdb	skylab\rperez	VDI-95	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	0	1	0	943940	0	0	UI Queries, SQL Server
master	nt authority\system	S1P-NEG-SQL	Microsoft® Windows® Operating System	COM+ Component	0	1	0	0	0	0	
ValidacionTributaria	ope_credexweb	CONCON	.Net SqlClient Data Provider	.Net APP	27281	27283	43177	123087734	1472064224	41011000	
master	skylab\rperez	VDI-95	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	8	1	548	21261921	74208	72	UI Queries, SQL Server
ValidacionTributaria	ope_credexweb	PUCHUNCAVI	.Net SqlClient Data Provider	.Net APP	28758	28758	48165	125437933	1884105712	45631048	
ft3	ope_ruteador	S1P-NEG-SQL			58095	58097	158953	592414	41860816	49088	
ft3	ope_limpieza	S1P-NEG-SQL			1130275	1130283	444561	1879617	187324216	1272	
ft3	ope_appsbif	CHINCOL			494359	494364	6836962	294261772	2680943960	1704	
master	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server	Microsoft SQL Server	2907	2907	77	13328	0	0	SQL Server
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server	Microsoft SQL Server	130	130	0	78936	22880	0	SQL Server
AdmDBA	skylab\ope_sql_neg	S1P-NEG-SQL	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	2067	2092	46455	10655863	10898184	40560	UI Queries, SQL Server
Monitor	ope_monitoreonagios	atenas	check_mssql_FT3	check_mssql_FT3	182	182	4423	12161	5849352	0	
intercajas	ope_intercajasweb	BORABORA	.Net SqlClient Data Provider	.Net APP	819	819	1997	27968124	42332032	37752	
Monitor	ope_monitoreonagios	atenas	check_mssql_Intercajas	check_mssql_Intercajas	504	504	142	5921	16192	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<29648>	DatabaseMail - DatabaseMail - Id<29648>	4	4	15	979990	1376	56	
