Path	Package	Found In Jobs	Jobs	Connection Name	Provider	Connection String
I:\AdmDBA\nhuenul	PlanBackupFull	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
I:\AdmDBA\nhuenul	PlanBackupLog	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
I:\AdmDBA\nhuenul	PlanCheckIntegrityDB	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
I:\AdmDBA\nhuenul	PlanLimpiaLog	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
I:\AdmDBA\nhuenul	PlanReindex&Statistics	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
m:\db\Generated\Data Collector	[TSQLQuery_S1P-NEG-SQL_MSSQL14_MSSQLSERVER_{7B191952-8ECF-4E12-AEB2-EF646EF79FEF}_1_Collect]	False		ConfigConnection	OLEDB	@[User::ConfigConnectionString]
m:\db\Generated\Data Collector	[TSQLQuery_S1P-NEG-SQL_MSSQL14_MSSQLSERVER_{7B191952-8ECF-4E12-AEB2-EF646EF79FEF}_1_Collect]	False		TargetConnection	OLEDB	Data Source=S1P-NEG-SQL;Provider=SQLNCLI11;Integrated Security=SSPI;Auto Translate=False;Application Name=SQL Server Data Collector - Controller;
m:\db\Generated\Data Collector	[TSQLQuery_S1P-NEG-SQL_MSSQL14_MSSQLSERVER_{7B191952-8ECF-4E12-AEB2-EF646EF79FEF}_1_Upload]	False		ConfigConnection	OLEDB	@[User::ConfigConnectionString]
m:\db\Generated\Data Collector	[TSQLQuery_S1P-NEG-SQL_MSSQL14_MSSQLSERVER_{7B191952-8ECF-4E12-AEB2-EF646EF79FEF}_1_Upload]	False		MDWConnection	OLEDB	@[User::MDWConnectionString]
m:\db\Generated\Data Collector	[TSQLQuery_S1P-NEG-SQL_MSSQL14_MSSQLSERVER_{7B191952-8ECF-4E12-AEB2-EF646EF79FEF}_2_Collect]	False		ConfigConnection	OLEDB	@[User::ConfigConnectionString]
m:\db\Generated\Data Collector	[TSQLQuery_S1P-NEG-SQL_MSSQL14_MSSQLSERVER_{7B191952-8ECF-4E12-AEB2-EF646EF79FEF}_2_Collect]	False		TargetConnection	OLEDB	Data Source=S1P-NEG-SQL;Provider=SQLNCLI11;Integrated Security=SSPI;Auto Translate=False;Application Name=SQL Server Data Collector - Controller;
m:\db\Generated\Data Collector	[TSQLQuery_S1P-NEG-SQL_MSSQL14_MSSQLSERVER_{7B191952-8ECF-4E12-AEB2-EF646EF79FEF}_2_Upload]	False		ConfigConnection	OLEDB	@[User::ConfigConnectionString]
m:\db\Generated\Data Collector	[TSQLQuery_S1P-NEG-SQL_MSSQL14_MSSQLSERVER_{7B191952-8ECF-4E12-AEB2-EF646EF79FEF}_2_Upload]	False		MDWConnection	OLEDB	@[User::MDWConnectionString]
m:\db\Maintenance Plans	[PlanBackupFull]	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
m:\db\Maintenance Plans	[PlanBackupLog]	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
m:\db\Maintenance Plans	[PlanCheckIntegrityDB]	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
m:\db\Maintenance Plans	[PlanLimpiaHistorial&Log]	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
m:\db\Maintenance Plans	[PlanReindex&Statistics]	False		Local server connection	ADO.NET	Data Source=S1P-NEG-SQL;Integrated Security=True;Pooling=False;MultipleActiveResultSets=False;Connect Timeout=30;Encrypt=False;TrustServerCertificate=False;Packet Size=4096;Application Name="Microsoft SQL Server Management Studio";
