Schema	TableName	Rows	Reserve Space	Space Used	Index Space Used	Unused Space	Type	Blob Columns
dbo	tblAfiliadoCabecera	29	147456	8192	24576	114688	BTree	0
dbo	tblAfiliadoDetalle	9511679	1169457152	910647296	258703360	106496	BTree	0
dbo	tblAfiliadoError	242	229376	106496	32768	90112	BTree	0
dbo	tblCarteraCompradaCabecera	2	73728	8192	8192	57344	BTree	0
dbo	tblCarteraCompradaDetalle	0	0	0	0	0	BTree	0
dbo	tblCarteraCompradaError	0	0	0	0	0	BTree	0
dbo	tblCierreFueraPlazo	108	73728	8192	8192	57344	BTree	0
dbo	tblCodigoError	86	73728	8192	8192	57344	BTree	0
dbo	tblConsolidacionCabecera	21	147456	8192	24576	114688	BTree	0
dbo	tblConsolidacionCabeceraPensionado	18	147456	8192	24576	114688	BTree	0
dbo	tblConsolidacionCarteraCabecera	21	147456	8192	24576	114688	BTree	0
dbo	tblConsolidacionCarteraDetalle	738601	105144320	73752576	31227904	163840	BTree	0
dbo	tblConsolidacionDetalle	652298	244965376	79437824	165085184	442368	BTree	0
dbo	tblConsolidacionDetallePensionado	115374	30744576	30416896	262144	65536	BTree	0
dbo	tblControlProceso	1141	417792	81920	122880	212992	BTree	0
dbo	tblDeudaCabecera	33	147456	8192	24576	114688	BTree	0
dbo	tblDeudaDetalle	2214944	167854080	132374528	35364864	114688	BTree	0
dbo	tblDeudaError	347	229376	114688	49152	65536	BTree	0
dbo	tblEmailOperacion	11	212992	32768	8192	172032	BTree	0
dbo	tblEstado	69	147456	8192	24576	114688	BTree	0
dbo	tblEventoAuditoria	1240716	227467264	185294848	21512192	20660224	BTree	0
dbo	tblFeriado	0	0	0	0	0	BTree	0
dbo	tblFuncionalidad	39	73728	8192	8192	57344	BTree	0
dbo	tblHistAfiliadoDetalle	45083304	5588303872	4317093888	1271062528	147456	BTree	0
dbo	tblHistAfiliadoError	1789	1105920	483328	114688	507904	BTree	0
dbo	tblHistCarteraCompradaDetalle	0	0	0	0	0	BTree	0
dbo	tblHistCarteraCompradaError	0	0	0	0	0	BTree	0
dbo	tblHistDeudaDetalle	10412179	637870080	634044416	3784704	40960	BTree	0
dbo	tblHistDeudaError	2079	1245184	565248	139264	540672	BTree	0
dbo	tblHistRecaudacionDetalle	20384	3407872	2105344	958464	344064	BTree	0
dbo	tblHistRecaudacionError	0	0	0	0	0	BTree	0
dbo	tblIndicadorResumen	118308690	3184189440	2131206144	1052852224	131072	BTree	0
dbo	tblInstitucion	6	73728	8192	8192	57344	BTree	0
dbo	tblMenu	36	73728	8192	8192	57344	BTree	0
dbo	tblPagina	29	73728	8192	8192	57344	BTree	1
dbo	tblParametro	175	139264	32768	16384	90112	BTree	0
dbo	tblPassword	294	212992	32768	32768	147456	BTree	0
dbo	tblPerfil	15	73728	8192	8192	57344	BTree	0
dbo	tblPeriodo	100	73728	8192	8192	57344	BTree	0
dbo	tblPeriodoMora	9	73728	8192	8192	57344	BTree	0
dbo	tblRecaudacionCabecera	5	221184	8192	40960	172032	BTree	0
dbo	tblRecaudacionDetalle	5044	1130496	729088	327680	73728	BTree	0
dbo	tblRecaudacionError	0	0	0	0	0	BTree	0
dbo	tblRegistroConsolidacion	453	212992	16384	32768	163840	BTree	0
dbo	tblRel_FuncMenu	53	73728	8192	8192	57344	BTree	0
dbo	tblRel_FuncPagina	29	73728	8192	8192	57344	BTree	0
dbo	tblRel_PerfilFunc	204	73728	8192	8192	57344	BTree	0
dbo	tblRel_UsuarioPerfil	208	73728	8192	8192	57344	BTree	0
dbo	tblResumenConsolidacion	3467	204800	147456	16384	40960	BTree	0
dbo	tblResumenConsolidacionPensionado	36	73728	8192	8192	57344	BTree	0
dbo	tblSessionUsuario	0	147456	8192	24576	114688	BTree	0
dbo	tblSUSESO_RutInhabilitado	67	73728	8192	8192	57344	BTree	0
dbo	tblSUSESO_TipoAfiliado	11	73728	8192	8192	57344	BTree	0
dbo	tblSUSESO_TipoIdentificador	3	73728	8192	8192	57344	BTree	0
dbo	tblTipoControlProceso	9	73728	8192	8192	57344	BTree	0
dbo	tblTipoEstado	9	73728	8192	8192	57344	BTree	0
dbo	tblTipoEventoAuditoria	6	73728	8192	8192	57344	BTree	0
dbo	tblTipoParametro	4	73728	8192	8192	57344	BTree	0
dbo	tblUnidad	4	73728	8192	8192	57344	BTree	0
dbo	tblUsuario	118	212992	24576	32768	155648	BTree	0
